stage,blastomeres,endocrine_pancreas,epidermis,eye,gut,mesenchyme,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,taste
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,10.51,0,0,2.63,0,0,0
 10-12,0,0,0,6.29,0,0,6.29,0,0,12.59,0,0,0
 14-21,0,0,1,0,0,0,2,0,0,0,1,1,0
 24-34,0,0,0,0,0,0,0.82,0,0,0,0.82,0,0
 36-46,0,0,0,0.81,0,0,0,0.81,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,0,0,0
 72-82,0,0.98,0,0,5.89,0.98,0.98,0,0,0,0.98,0,0.98
 84-94,0,0,0,0,2.12,1.06,0,0,0,0,2.12,0,0
 96-106,0,0,0,0,9.84,0,3.28,0,1.09,0,1.09,0,0
108-118,0,0,1.53,0.77,12.26,0,0.77,0,0,0,0,0,0
120,0,0,1.96,0,25.48,0,11.76,0,0,0,0,0,0
