stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,909.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92.25,0,0,0,0,0,0,0,0,0
  5-6,36.78,809.11,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,18.39,18.39,0,0,6.13,0,42.91,0,0,0,0,0,0,0,0,0
  7-9,28.92,15.77,0,68.35,0,0,0,39.43,0,0,0,0,55.2,0,0,0,0,0,0,0,0,0,0,549.4,10.51,0,0,168.24,0,2.63,7.89,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,22.03,0,6.29,0,34.62,0,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,412.25,9.44,0,0,169.94,0,0,0,0,12.59,0,3.15,0,0,0,0
 14-21,0,0,0,6,63,19,0,59,0,0,23,2,3,1,1,5,0,1,0,1,50,0,31,880,45,2,7,25,0,8,0,63,3,62,287,0,0,1,0
 24-34,0,0,0.82,0,5.75,3.28,0,132.16,0,0.82,8.21,0,0,0.82,0.82,0,0,0,0,0,49.25,0.82,14.78,735.49,4.1,3.28,1.64,0,0,10.67,0,0,0,0.82,142.83,0,0,3.28,0.82
 36-46,0,0,0,0,2.42,0.81,0,318.24,0.81,0,9.67,0,0,0.81,0,0,1.61,0,0.81,0,41.09,3.22,12.09,530.13,0.81,4.83,0.81,0,0,3.22,0,0,0,0,117.63,0,0,3.22,0.81
 48-58,0,0,0,0,3.44,2.3,0,276.57,0.57,0,9.75,0,0,0,0,0,1.15,0,0,0,36.15,1.15,8.03,180.75,0,1.15,1.72,0,0,2.3,0,0,0,0,23.53,0,0,2.3,0.57
 60-70,0.98,0,0,0,6.87,0,0,253.23,0.98,0,15.7,0,0,0,0,0.98,0,0.98,0.98,0,26.5,0.98,4.91,106.99,0,0,0.98,0,0.98,0.98,0,0,0,0,8.83,0,0,0.98,0
 72-82,0,0,0,0,4.91,0.98,0,114.85,0,0,14.72,0.98,0,0.98,0,0,0,0,0,0,31.41,0,4.91,89.33,0,0,0,0,0,0.98,0,0,0,0,0.98,0,1.96,2.94,0
 84-94,0,0,0,0,8.5,1.06,0,79.65,0,0,15.93,0,0,0,1.06,1.06,1.06,1.06,0,0,32.92,4.25,6.37,83.9,0,3.19,2.12,0,0,1.06,0,0,0,0,1.06,1.06,0,2.12,0
 96-106,0,0,0,0,5.46,1.09,2.19,68.85,0,0,12.02,3.28,0,1.09,4.37,2.19,0,1.09,0,0,28.41,1.09,4.37,65.57,1.09,1.09,1.09,0,0,3.28,0,0,1.09,0,1.09,0,0,2.19,0
108-118,0,0,0,0,5.36,2.3,0,67.4,0,1.53,17.62,2.3,0,0,3.06,0,0,0,0.77,0,15.32,0.77,3.06,92.68,0.77,0.77,3.06,0,0,0.77,0,0,0,0,0,2.3,0,3.06,0.77
120,0,0,0,0,9.8,1.96,0,48.99,0,0,5.88,3.92,0,0,0,0,0,0,0,0,3.92,0,0,60.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
