stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature
  3-4,13.18,764.32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52.71,0,0,0,0,0,0
  5-6,0,521.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,12.26,0,0,0,0,0,0
  7-9,2.63,0,0,2.63,0,0,2.63,0,0,0,0,2.63,0,0,0,0,0,0,28.92,0,0,21.03,0,0,0,0,0,0,0
 10-12,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62.94,0,0,15.73,0,0,3.15,0,0,0,0
 14-21,0,0,0,3,33,5,2,1,0,1,3,0,0,1,6,14,0,8,7,0,0,2,1,5,2,1,0,0,0
 24-34,0,0,0.82,0,1.64,0,0.82,1.64,0,0.82,2.46,0,0,0.82,8.21,18.06,0,3.28,7.39,0.82,0,0,0,0,0,0.82,0.82,0,1.64
 36-46,0,0,0,0.81,0,0,0.81,1.61,0,0,4.03,0,0,0,3.22,3.22,0,0,6.45,0,0.81,0,1.61,0,0.81,0,0.81,0,0
 48-58,0,0,0,0.57,0,0,0,1.72,0,0,3.44,0,0,0,1.15,0,0,0,3.44,0,0,0,0,0,0,0,0.57,0,0
 60-70,0,0,0.98,0,0,0,5.89,0.98,0.98,0,7.85,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0,0,0.98,0,0
 72-82,0,0,1.96,0,0,0,0.98,0,0,0,11.78,0,0.98,0,1.96,1.96,0.98,0,8.83,0,0,0,0,0,0.98,0,0,0.98,0
 84-94,0,0,0,0,0,0,1.06,3.19,0,0,41.42,0,0,0,2.12,1.06,0,1.06,2.12,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,2.19,0,0,0,1.09,3.28,0,0,45.9,0,0,0,6.56,1.09,0,0,9.84,0,0,0,1.09,0,0,0,1.09,0,1.09
108-118,0,0,0,0,0,0,3.06,5.36,0,0,34.47,0,0,0,13.02,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,3.92,0,0,60.75,0,0,0,7.84,0,0,0,5.88,0,0,0,0,0,0,0,0,0,0
