stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,2016.22,34789.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1423.22,0,0,0,0,0,0,0,0,0,0
  5-6,2488.63,29446.77,42.91,0,0,0,0,0,0,0,67.43,0,0,0,0,0,0,0,0,0,0,570.06,49.04,0,0,196.15,0,527.15,0,0,0,0,0,0,0,0,0,0
  7-9,126.18,141.95,231.33,0,0,0,339.1,0,0,0,141.95,0,0,0,0,0,0,0,0,0,0,4021.93,123.55,0,0,1784.9,0,7.89,47.32,0,5.26,0,0,0,0,0,0,0
 10-12,0,72.38,75.53,0,31.47,0,119.58,0,0,0,25.18,0,0,0,0,0,0,0,0,0,0,780.45,31.47,0,0,1356.34,0,3.15,12.59,15.73,138.47,0,3.15,0,0,0,0,0
 14-21,0,0,21,93,113,0,55,0,2,5,0,0,0,1,0,0,0,2,113,0,61,238,3,0,10,10,0,0,0,142,2,1,217,40,0,20,0,1
 24-34,0,0,6.57,21.34,9.03,0,19.7,0,0,3.28,0,0,0.82,0,0,6.57,3.28,0,104.25,0.82,27.09,67.31,0.82,0,4.1,0,0,0,0,0,0,0,19.7,4.1,0,55,0,0
 36-46,0,0,0.81,4.83,2.42,0,6.45,2.42,0.81,3.22,0,0,0,0,0,4.03,3.22,0,43.51,3.22,17.72,29.81,0,0,0.81,0,0,0,0,0,0,0,0,0,0,25.78,0,0
 48-58,0,0,0,1.72,0.57,0,1.15,0.57,0,1.72,0,1.15,0,0,0,1.15,2.3,0,16.07,0,3.44,12.62,0,0.57,0.57,0,0,0,0,0,0,0,0,1.72,0,14.35,0,0
 60-70,0,0,0,1.96,0.98,0,2.94,0,1.96,3.93,0,0,0,0,0.98,1.96,0.98,0,6.87,0.98,4.91,10.8,0,0,0,0,0,0,0,0,0,0,0,0,0.98,9.82,0.98,0
 72-82,0,0,0,0,0.98,0,3.93,1.96,1.96,0,0,0,0,0,0,3.93,3.93,0,15.71,3.93,5.89,9.82,0,0,0,0,0,0.98,0,0,0,0,0,0,0,8.83,0.98,0
 84-94,0,0,0,0,3.19,3.19,8.5,1.06,1.06,3.19,0,0,0,0,0,1.06,10.62,0,13.81,1.06,6.37,11.68,0,0,0,0,0,1.06,0,0,0,0,0,0,1.06,15.93,2.12,0
 96-106,0,0,0,2.19,0,0,2.19,1.09,0,0,0,0,1.09,0,0,2.19,0,0,6.56,0,4.37,6.56,0,0,0,0,3.28,0,0,0,0,0,0,0,0,4.37,1.09,0
108-118,0,0,0,2.3,0.77,0.77,6.13,0,0.77,0.77,0,0,0,0,0,3.06,6.13,0,10.72,0.77,6.89,10.72,0,0,0,0,0,0,0,0,0,0,0,0,0.77,7.66,0,0
120,0,0,0,1.96,0,0,0,0,1.96,0,0,0,0,0,0,3.92,3.92,0,3.92,0,7.84,7.84,0,0,0,0,0,0,0,0,0,0,0,0,0,5.88,0,0
