stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,ionocyte,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord
  5-6,18.39,153.24,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,13.14,0,0,13.14,0,0,0,0,0,0,0,0,147.21,7.89,63.09,0,0,0,0,0
 10-12,0,6.29,0,15.73,0,0,18.88,0,0,0,0,0,0,0,0,129.03,9.44,31.47,0,0,0,0,0
 14-21,0,0,0,0,0,0,2,0,0,4,0,0,0,2,2,45,1,0,0,1,0,2,48
 24-34,0,0,0,0,0,0,0.82,0,0,6.57,0,0,0,0.82,1.64,26.27,0,0,0,0,0,0,18.88
 36-46,0,0,0,0,0,0,0.81,0,0,0.81,0,0,0,0.81,0,11.28,0,0,0,0,0,0,3.22
 48-58,0,0,0,0,0,0,2.3,0,0,4.02,0,0,0,2.3,0,9.75,0,0,0,0,0,0,2.3
 60-70,0,0,0,0,0,0,3.93,0,0,3.93,0,0,0,0,0,6.87,0,0,0,0,0,0,0
 72-82,0,0,0.98,0,0.98,0,1.96,0,0.98,3.93,0,0,0,0.98,0,3.93,0,0,0,0,0,0,0.98
 84-94,0,0,0,0,0,0,0,0,0,4.25,0,0,0,1.06,0,3.19,0,0,0,0,1.06,0,0
 96-106,0,0,0,0,0,1.09,0,0,0,4.37,0,0,0,2.19,0,2.19,0,0,1.09,0,0,0,2.19
108-118,0,0,0,0,0.77,0,0,0.77,0,4.6,0.77,0,0,0,0,3.06,0,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,1.96,1.96,0,1.96,0,0,0,0,0,0,1.96
