stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,fin_mesenchyme,glial,gut,heart,immune,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,61.3,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,3.15,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,15,0,0,0,0
 24-34,0,0,0.82,0,1.64,0,0,0,0,0,0,0.82,0,0,0,106.71,0,0.82,0,0,0,0,26.27,0,0,0,0
 36-46,0,0,0.81,0.81,13.7,0,1.61,0,0.81,0,0,0,0,0,0,197.39,0,9.67,0,0,0,0,45.12,0,0,0,0
 48-58,0,0,0,0.57,35,0,3.44,0,0,0,0,0,1.72,0,0.57,165.26,0,4.59,0,0,0,0,27.54,0,0,0,0
 60-70,0,0,0,0,77.54,0,10.8,0,0,0,0,0,0.98,0,0,205.14,0,2.94,0,0,0,0,30.43,0,0,0,0
 72-82,0,0,0,1.96,66.75,0.98,4.91,0,0,0,0,0.98,5.89,0,0,152.16,0,1.96,1.96,0,0.98,0.98,13.74,0,0,0.98,0.98
 84-94,0,0,0,1.06,53.1,0,4.25,0,0,0,0,0,4.25,0,0,73.28,0,2.12,1.06,0,0,0,5.31,1.06,1.06,0,1.06
 96-106,0,0,0,0,28.41,0,4.37,1.09,0,0,1.09,0,1.09,0,1.09,72.13,0,4.37,3.28,0,0,0,4.37,0,0,0,0
108-118,0,0,0.77,3.06,39.06,0,9.96,0.77,0,0,0,0,0.77,0,0,75.06,0,1.53,0,0,0,0.77,2.3,0,0.77,0,0
120,0,0,1.96,0,25.48,0,5.88,0,0,1.96,0,0,0,1.96,0,68.59,0,7.84,0,0,0,0,5.88,0,0,0,0
