stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,380.04,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,30.65,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.92,0,0,0,18.4,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,3.15,0,0,107,0,0,0,0,15.73,0,0,0,0,0,0
 14-21,0,0,1,4,3,0,1,0,0,0,2,12,0,0,0,0,0,0,0,3,0,16,7,5,0,0,4,0,0,21,89,273,19,0,0,0,0,0
 24-34,0,0,0,6.57,0.82,0,1.64,0,0,0,0,0,0,0,0.82,0,0,0,0,8.21,0,7.39,26.27,3.28,0,0.82,0,0,0,0,41.86,22.16,26.27,0,0,3.28,0,0
 36-46,0,0,0,0.81,0,0,4.83,12.89,0,0.81,0,0,0,0.81,0,0,2.42,0,0,0.81,0,8.86,40.28,1.61,0,0.81,0,0,1.61,0,45.92,1.61,47.53,0,0,0,0,0
 48-58,0,0,0,1.15,0,0,16.07,16.64,0,0.57,4.59,0.57,0,0,0,0,1.15,0.57,0,11.48,1.15,34.43,51.64,1.15,0.57,0.57,0,0,0.57,0,72.87,0,42.46,0,1.15,1.15,0,1.15
 60-70,0,0,0,1.96,0,0,33.37,35.33,0.98,1.96,1.96,0,0,1.96,0.98,0,0.98,0,0,17.67,4.91,19.63,73.61,0,0.98,1.96,0,0,0,0.98,43.19,0,32.39,0,1.96,0.98,2.94,0
 72-82,0,0,0,1.96,1.96,0.98,53.99,23.56,0,0,10.8,0.98,0,1.96,0,0,2.94,0,0,52.03,8.83,35.34,105.04,1.96,0,2.94,0,0,0.98,0,29.45,0,18.65,3.93,3.93,0.98,11.78,0.98
 84-94,0,0,0,3.19,1.06,0,44.61,27.61,0,1.06,12.74,1.06,0,1.06,0,0,4.25,0,1.06,26.55,7.43,31.86,71.16,0,1.06,1.06,0,0,1.06,0,44.61,0,13.81,16.99,5.31,0,9.56,1.06
 96-106,0,0,0,9.84,5.46,1.09,44.81,42.62,1.09,0,21.86,2.19,0,1.09,1.09,1.09,2.19,4.37,1.09,32.79,6.56,34.97,91.8,2.19,1.09,2.19,0,1.09,5.46,0,45.9,0,10.93,42.62,6.56,3.28,16.39,0
108-118,0,0,0,3.06,1.53,1.53,26.04,69.7,1.53,0,17.62,0.77,0,0,0.77,0.77,2.3,0.77,0,36,9.96,30.64,97.28,1.53,0.77,8.43,0,2.3,3.83,0,50.55,0,8.43,63.57,4.6,0,1.53,0.77
120,0,0,0,5.88,0,0,25.48,54.87,0,0,17.64,1.96,0,0,0,0,0,0,0,35.28,15.68,21.56,88.19,0,0,1.96,0,3.92,1.96,0,25.48,0,11.76,17.64,0,0,5.88,0
