stage,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,glial,gut,heart,liver,mesenchyme,muscle,neural,otic,periderm,pronephros,spinal_cord,xanthophores
 14-21,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0
 24-34,0,0,0,0,0,0,0,0,0.82,0.82,0,0.82,0.82,1.64,0,0,0
 36-46,0,0.81,0,0,0.81,0,0,0,0.81,1.61,0,3.22,0,0,0,0,0
 48-58,0,0.57,0,0,10.9,0,0.57,0,0,0,0,1.15,0,0,0,0,0
 60-70,0,0,0,0,19.63,0,0,0,0,0.98,0,0.98,0,0,0,0.98,0
 72-82,0,0,0,0,31.41,0,0,0,0,0.98,0,5.89,0,0,0,0,0
 84-94,1.06,0,0,0,18.05,0,0,0,0,2.12,0,3.19,0,0,0,0,1.06
 96-106,0,0,1.09,0,15.3,1.09,0,0,0,0,0,4.37,0,0,0,0,0
108-118,0,0,0,0.77,13.02,0,0.77,0.77,0,0.77,0.77,3.06,0,0.77,0.77,0,0
120,0,0,0,0,15.68,1.96,1.96,0,0,0,0,3.92,0,0,0,0,0
