stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,15.77,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,3.15,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,18.88,0,0,0,12.59,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,3,0,2,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,2,9,0,2,0,0,0,0,2,12,0,0,0,0
 24-34,0,0,0,0,1.64,0,0.82,0,0,0.82,1.64,0.82,0,0.82,0,0,0,0,0,1.64,0,0,0,9.85,0.82,8.21,0.82,0,0,0.82,0,13.13,0,3.28,0,0.82
 36-46,0,0,0,0,1.61,0,8.06,0,0.81,0,0,0,0,0,0,0,0,0,0.81,8.06,0,0,1.61,12.89,0,6.45,0,0,0,0,0,4.83,0,0.81,0,0
 48-58,0,0,0,0,0,0,13.2,0,0,1.15,0.57,0,0,0,0,0,0,0,0,10.9,0,0,1.15,10.33,0,1.72,0,0,0,0,0,2.3,0,1.15,0,0
 60-70,0,0,0,0,0,0,74.6,0,0,4.91,0,0,0,0,0,0,0.98,0,1.96,18.65,0,0,0.98,23.56,0,6.87,0,0,0,0,0,0.98,0.98,0,0,0
 72-82,0,0,0.98,0,0.98,0.98,441.75,0,0,2.94,3.93,0.98,0,0,0.98,0.98,0,0,0.98,20.61,0,0.98,3.93,37.3,0,14.72,0,0,0,0,0,4.91,0,3.93,0.98,0
 84-94,0,0,0,0,3.19,0,415.26,1.06,0,1.06,3.19,0,0,0,0,0,1.06,0,1.06,16.99,0,1.06,1.06,26.55,0,9.56,1.06,0,1.06,1.06,0,2.12,0,4.25,1.06,0
 96-106,1.09,0,0,0,4.37,2.19,371.57,1.09,0,0,0,0,0,0,0,0,0,0,1.09,20.76,1.09,0,2.19,24.04,0,18.58,0,0,0,1.09,0,1.09,0,2.19,0,0
108-118,0,0,0,0,0.77,1.53,271.15,0,0,3.06,1.53,2.3,0,0.77,0,1.53,0.77,0.77,7.66,13.79,0,0.77,1.53,26.81,0,8.43,0,0,0.77,3.06,0,0,0,2.3,1.53,0
120,0,0,0,0,1.96,0,272.41,0,1.96,0,0,1.96,0,0,0,1.96,0,0,3.92,7.84,0,3.92,3.92,27.44,0,9.8,0,0,0,1.96,0,0,1.96,0,1.96,0
