stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,gut,mesenchyme,muscle,neural,notochord,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord
  3-4,210.85,3544.86,0,0,0,0,0,0,0,0,0,0,158.14,0,0,0,0
  5-6,159.37,2151.5,0,0,0,0,0,0,0,30.65,0,18.39,18.39,0,0,0,0
  7-9,2.63,5.26,2.63,0,2.63,13.14,0,0,0,113.03,2.63,49.95,0,2.63,0,0,0
 10-12,0,3.15,0,0,0,6.29,0,0,0,28.32,3.15,22.03,0,3.15,0,3.15,0
 14-21,0,0,0,1,0,2,0,0,1,6,0,0,0,0,1,0,1
 24-34,0,0,0,0,0,0.82,0,0,0,2.46,0,0,0.82,0,0,0,0.82
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.81
 48-58,0,0,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0
 84-94,0,0,0,0,0,0,0,0,0,0,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,0,0,0,1.09,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0,0,0
