stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,gut,immune,iridophores,melanocytes,mesenchyme,mucous,neural,notochord,olfactory,periderm,presomitic_mesoderm,spinal_cord,vasculature
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,6,1,0,0,0,0,0,0,0,0,1,4,0,0,1,1,0
 24-34,0,6.57,0,0,1.64,0,0,0,0.82,0,0,0.82,0,0,1.64,0,0,0
 36-46,0,5.64,0,0,0,0,0,0,0,0,0,1.61,0,0,0.81,0,0.81,0
 48-58,0,0,0,0,1.15,0,0,0.57,1.15,0,0,1.15,0,0,0.57,0,0,0
 60-70,0,1.96,0,0.98,2.94,0,0.98,0,0,0,0,0,0,0,4.91,0,0,0
 72-82,0,0,0,0.98,0,0.98,0.98,0,0,0,0.98,1.96,0,0,0.98,0,0,0
 84-94,0,2.12,0,4.25,2.12,0,0,0,2.12,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,1.09,1.09,0,0,1.09,1.09,0,0,0,0,0,1.09,3.28,0,0,0
108-118,0,3.83,0,8.43,1.53,0.77,1.53,1.53,0,0.77,0,0,0,0,1.53,0,0,0
120,0,3.92,0,0,0,1.96,5.88,0,0,0,0,3.92,0,0,0,0,0,0
