stage,epidermis,eye,fin_epithelia,glial,ionocyte,mesenchyme,mucous,neural,olfactory,otic,paraxial_mesoderm,slow_muscle,spinal_cord,vasculature
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0
 14-21,2,0,0,1,0,1,0,0,1,1,1,0,0,0
 24-34,0,0.82,0.82,0,0.82,0,0,1.64,1.64,0,0,0,0.82,0
 36-46,0,0,0,0,0,0,0,0.81,1.61,0,0,0,0,0
 48-58,0.57,0,0,0,0,0,0.57,0,0.57,0,0,0.57,0,0
 60-70,0,0.98,0,0,0,0.98,0,0,0,0,0,0,0.98,0
 72-82,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0.98
 84-94,1.06,0,0,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0,0.77,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0
