stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131.78,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,165.5,0,0,0,0,0,0,0,0
  7-9,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.66,2.63,0,0,7.89,52.57,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,6.29,25.18,0,0,0,3.15,0,0,0,0
 14-21,0,8,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,5,0,1,0,1,126,1,0,0,3,1,0,0,0
 24-34,0,5.75,0,1.64,0,0,0,0,0.82,0.82,0.82,0,15.6,0,0,0,0,0,13.95,0,0,17.24,0,4.1,0.82,0,293.87,0,0,0,0,0.82,0,0,0
 36-46,0,4.03,0,0.81,0,1.61,0,0,0,0,0,0,1.61,0,0,0,0,0.81,12.09,0,0,10.47,0.81,14.5,0,0,294.87,0,0.81,0,0,1.61,0,0.81,0
 48-58,0,2.3,0,5.16,0,5.16,0.57,1.15,0,0,0,0,4.59,0,0.57,0,0,2.87,15.49,0,0.57,17.79,0,10.33,0,0,346.58,0,0,0,0,5.16,0,0,0
 60-70,0,3.93,0,1.96,0,5.89,0,0.98,0,0,0,0,2.94,0,0,0,0,0.98,8.83,0,0.98,4.91,0,7.85,0.98,0,304.27,0,0,0,0,0,0.98,0,0
 72-82,0,14.72,0,10.8,0,9.82,0.98,1.96,1.96,0,0,0,11.78,0,0.98,0,0,1.96,22.58,0,0,12.76,0,18.65,0,0,592.92,0,0,0,0,0.98,0.98,0,0
 84-94,0,18.05,1.06,2.12,0,27.61,1.06,0,5.31,0,0,1.06,14.87,0,1.06,1.06,1.06,1.06,25.49,0,0,6.37,0,15.93,0,0,1451.81,0,0,0,0,0,1.06,0,0
 96-106,0,66.66,1.09,4.37,0,34.97,0,1.09,26.23,0,0,1.09,39.34,0,0,1.09,0,4.37,26.23,0,3.28,25.14,0,33.88,0,0,1399.94,0,0,0,0,1.09,6.56,0,0
108-118,0,42.89,0.77,5.36,0.77,29.11,0,0,17.62,0,0,0.77,32.94,0.77,0,0,0,6.89,27.57,0.77,0.77,11.49,0,9.96,0,0,1270.73,0,0,0.77,0,0,12.26,0,0.77
120,0,43.12,0,0,0,19.6,0,1.96,13.72,0,0,0,17.64,0,0,0,0,0,19.6,0,0,3.92,0,1.96,0,0,619.29,0,1.96,0,0,0,5.88,0,0
