stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,92.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,79.69,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,7.89,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,2,0,0,0,0,0
 24-34,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,55.82,0,2.46,1.64,0,0,0.82,0,0,30.37,0,0,0,0,0
 36-46,0,0,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0,0.81,0,0,177.25,0,6.45,0,0,0,0,0,0.81,65.26,0,0,0,0,0
 48-58,0,0,0,0,0,16.07,0,0,0.57,0,0,0.57,0,0,0,0,4.59,0.57,0,246.16,0,4.59,0,0,0,0.57,0,0,45.33,0,0,0.57,0,0.57
 60-70,0,0,0,0.98,0,53.98,0,0,3.93,0.98,0,0,0,0,0,0,8.83,0,1.96,662.53,0.98,9.82,0,0,0,1.96,0,0,62.82,0,0.98,0.98,0,0.98
 72-82,0,0,0,5.89,0.98,138.41,0,0,11.78,0,0,0,0.98,0,0,0,13.74,0,1.96,775.51,0,11.78,0,0,0,0,0,0,74.61,0,0.98,0.98,0,2.94
 84-94,0,0,0,6.37,0,87.09,0,1.06,8.5,1.06,0,2.12,2.12,2.12,0,0,8.5,0,0,421.63,0,6.37,0,0,0,1.06,0,0,49.92,0,0,2.12,1.06,0
 96-106,0,0,0,3.28,1.09,103.82,0,0,17.49,1.09,0,1.09,0,0,1.09,1.09,7.65,0,0,394.52,0,10.93,0,0,0,1.09,0,0,25.14,0,0,1.09,0,1.09
108-118,0,0,0,6.89,1.53,68.94,0.77,0.77,9.19,1.53,0,0,0,0,0,0,8.43,0,0,412.85,0,3.06,0,0,0,0,0,0,16.85,0,0,0.77,0,0
120,0,0,0,7.84,3.92,70.55,0,1.96,23.52,1.96,0,1.96,1.96,0,0,0,5.88,0,1.96,550.7,0,5.88,0,0,1.96,0,0,0,29.4,1.96,0,1.96,0,0
