stage,blastomeres,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,spinal_cord,taste,vasculature,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,3.15,0,0,0,0,0
 14-21,0,7,0,0,0,0,0,6,0,0,0,0,0,0,0,0,3,0,1,0,0,0,5,0,0,0
 24-34,0,1.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.89,0,0.82,0,0,0.82,12.31,0,0,0
 36-46,0,0,0,3.22,0,0,0,0,0,0,0,0,0,0,1.61,0,145.83,0,2.42,0,0,0,37.06,0,0,0
 48-58,0,0,0.57,14.92,0,0,0,0,0.57,0,0,0.57,0,0.57,0,0,134.27,0,0,0,0,0.57,26.4,0,0,0
 60-70,0,0,0,31.41,0.98,0.98,3.93,0,0,0,0,0,0.98,0,0,0,232.62,0,0.98,0,0,0.98,31.41,0,0,0.98
 72-82,0,0,0,39.27,0,0,2.94,0,0,0.98,0,0,0,0,2.94,0,172.77,0,1.96,0,0,0,14.72,0,0,0
 84-94,0,0,1.06,14.87,0,0,2.12,0,0,0,1.06,0,1.06,0,1.06,0,74.34,0,0,1.06,0,1.06,7.43,0,1.06,0
 96-106,0,0,0,10.93,1.09,0,5.46,0,0,0,0,0,0,0,1.09,0,50.27,0,1.09,0,0,0,5.46,0,1.09,0
108-118,0,0,0,8.43,0,0,3.06,0,0,0,0,0,0,0,1.53,0,54.38,0,0.77,0.77,0,0,0.77,0.77,0,0
120,0,0,1.96,11.76,1.96,0,5.88,0,0,0,0,0,0,0,1.96,1.96,52.91,0,1.96,0,0,0,0,0,0,0
