stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,2.63,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,4,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,6,1,1,0,0,0,1,0,2,1,0,31,0,0
 24-34,0,0,0,4.93,2.46,0,1.64,0,0,0,0,0,17.24,0,0,0,0,0,1.64,0,0,0.82,32.01,0,0,0,0,0,0,0.82,0,5.75,0,284.84,0,0
 36-46,0,0,0,5.64,1.61,0,4.83,0,0,0,1.61,0,13.7,0,0,0,0,0.81,0,0,0,1.61,20.14,0.81,0,0,0,1.61,0.81,0.81,0.81,3.22,0,267.48,0,0
 48-58,0,0,0,11.48,1.15,0,12.05,0,1.15,0,0,0,20.08,0,0.57,0,0,0.57,5.74,1.15,0.57,0.57,23.53,0.57,0.57,0,0.57,2.3,0,0,0,5.16,0,234.69,0.57,1.15
 60-70,0,0,0,10.8,0.98,0,6.87,0,0,0,0,0,15.7,0,0,0,0,0,0.98,0,0,0,14.72,0,0,0,0,0,0,0.98,0,3.93,0,191.4,0,0
 72-82,0,0,0,23.56,0.98,0,16.69,0,1.96,0.98,2.94,0.98,43.19,0.98,0,0.98,0,0,5.89,0,0,0,17.67,0,0.98,0,0,0,0,0,0,2.94,0.98,379.9,2.94,0
 84-94,0,0,0,60.54,0,0,3.19,0,5.31,1.06,0,3.19,19.12,1.06,0,0,0,0,3.19,0,0,0,5.31,0,0,0,0,1.06,0,0,0,1.06,1.06,344.1,0,1.06
 96-106,0,0,0,53.55,4.37,0,13.11,1.09,1.09,2.19,2.19,1.09,46.99,9.84,0,0,0,0,3.28,0,0,2.19,13.11,0,1.09,0,0,2.19,0,2.19,0,1.09,0,448.07,2.19,0
108-118,0.77,0,0,49.79,1.53,3.06,6.89,0,6.89,0,1.53,0,26.81,9.96,0.77,0,0.77,0,14.55,0,0,0,11.49,0,0,0,0,0.77,0,3.06,0,0,0,347.75,0,0
120,0,0,0,39.2,1.96,0,0,0,3.92,0,0,1.96,19.6,9.8,0,1.96,0,0,3.92,0,0,0,9.8,1.96,0,0,0,3.92,0,0,0,0,0,309.65,1.96,0
