stage,blastomeres,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,iridophores,lateral_line,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,53.5,9.44,0,0,9.44,0,0,0,0,0,0,0,0,0,0
 14-21,0,98,0,0,8,0,0,1,0,0,0,0,0,0,0,8,42,34,0,0,0,0,0,2,3,13,0,0,0,0,0
 24-34,0,100.97,0,0.82,60.74,4.93,0,0,0.82,0,0,0,7.39,0,0,1.64,12.31,0.82,0.82,0,0,0,1.64,0,0,3.28,0,0,0,0,0
 36-46,0,7.25,0,0,24.17,11.28,0.81,0,0.81,0.81,0,0,19.34,0,0.81,3.22,6.45,0,0,0,0,0,0,0,0,2.42,0,0,0,0,0.81
 48-58,0,3.44,0,1.72,20.66,29.26,0.57,0,0,0,0.57,0,20.66,0.57,0,5.74,9.18,0.57,0,0,0,0,0,0,0,2.3,0,0,0,0,0
 60-70,0,3.93,0,4.91,20.61,20.61,0,0,0,0.98,0,0,16.69,0,0,4.91,14.72,0,0.98,0,0,0,0,0,0,0.98,0,0,0,0,0.98
 72-82,0,4.91,0.98,2.94,18.65,30.43,0,0,0,0.98,0,0,35.34,0,0.98,7.85,11.78,0,0,0.98,0,0,0.98,0,0,1.96,0,0,0,0,0
 84-94,0,6.37,0,7.43,28.68,29.74,0,0,0,0,0,0,18.05,0,1.06,1.06,1.06,0,1.06,0,0,0,0,0,0,0,0,1.06,0,0,1.06
 96-106,0,12.02,1.09,4.37,20.76,28.41,1.09,2.19,2.19,0,0,1.09,30.6,1.09,0,2.19,10.93,0,1.09,0,0,0,1.09,0,0,0,1.09,0,0,1.09,1.09
108-118,0,15.32,0.77,9.19,31.4,13.79,1.53,0,0,0,0,0.77,18.38,0,0,1.53,10.72,0.77,0,0,0,0.77,0,0,0,0,0,0.77,0.77,0,0.77
120,0,1.96,0,3.92,15.68,9.8,5.88,0,1.96,0,0,0,25.48,0,0,0,11.76,0,0,0,0,0,0,0,0,0,0,0,0,0,0
