stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0
  7-9,7.89,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,21.03,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,3.15,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,0,15.73,0,0,0,0,0,3.15,0,0,0,0
 14-21,0,0,1,9,0,0,0,0,0,0,0,1,0,0,2,0,0,0,1,1,19,1,0,0,1,1,1,0,1,3,0,0,0,0
 24-34,0,0.82,0,0,0,0,1.64,0,0.82,0,0.82,0,0,0,6.57,2.46,0.82,0.82,1.64,0,32.83,0.82,0,0,4.1,0,0,0,0.82,9.85,0,0,0,0
 36-46,0,0,0,0.81,0,0,28.2,0,0.81,0,3.22,0,0,0,4.83,0.81,0.81,0,4.03,0,88.62,1.61,0,0,1.61,0,0,0,0,20.14,0,0,0,0
 48-58,0,0,0,1.72,0.57,0,16.07,0,0,0,1.15,0,0,0,9.18,0.57,0,0,1.15,0,24.67,0,0,0,0.57,0,0,0.57,0,4.02,0,0,0,0
 60-70,0,0,0,0.98,0,0,6.87,0,0,0,0.98,0,0,0,20.61,0,0,0,0,0,13.74,0.98,0,0,0,0,0,0,0,0.98,0,0,0,0
 72-82,0,0,0,0,0.98,0,22.58,0,0,0.98,1.96,0.98,0,0,18.65,0,0,0,5.89,0,10.8,0,1.96,0,0.98,0,0,0,0,3.93,0,0.98,0.98,0
 84-94,0,0,0,0,1.06,0,9.56,0,0,0,2.12,0,1.06,0,42.48,1.06,0,0,3.19,0,9.56,0,1.06,0,2.12,0,0,0,0,1.06,1.06,0,0,1.06
 96-106,0,0,0,1.09,1.09,0,8.74,1.09,0,0,2.19,0,0,0,41.53,1.09,1.09,0,3.28,0,6.56,0,4.37,0,2.19,0,0,0,0,0,0,0,1.09,0
108-118,0,0,0,3.83,1.53,0.77,13.02,0,0,0,4.6,0.77,0,0,37.53,2.3,0,0.77,3.83,0,8.43,0.77,1.53,0,0,0,0.77,0,0,0.77,0,0,2.3,0.77
120,0,0,0,0,0,0,11.76,0,0,0,3.92,0,0,1.96,48.99,0,0,0,3.92,1.96,15.68,0,0,0,1.96,0,0,0,0,0,0,0,1.96,0
