stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,2,23,3,10,0,0,0,4,0,0,0,0,0,0,0,0,0,15,0,0,7,153,0,2,3,4,0,0,4,1,3,13,62,0,0,1,0,0
 24-34,0.82,0,16.42,1.64,33.66,0,0.82,0,7.39,0.82,0,1.64,0.82,0,0,1.64,1.64,0,50.89,0,0,18.88,620.57,0.82,14.78,5.75,0,0,4.93,0,1.64,2.46,7.39,148.57,0,0,16.42,0,0.82
 36-46,0,0,10.47,0,84.6,0,0,0,24.98,0,0,1.61,0.81,0.81,0,2.42,0,0,54.79,0.81,2.42,14.5,1715.27,0,18.53,2.42,0,0.81,10.47,0.81,1.61,2.42,0,285.21,0,0.81,5.64,0,0
 48-58,0.57,0,11.48,0,302.4,0.57,6.89,2.87,32.71,0.57,0.57,1.15,1.72,0,0.57,2.87,0.57,1.15,62.54,0.57,4.02,20.08,2336.53,2.87,9.75,1.72,0,0,7.46,0,1.15,0.57,0,368.38,0,0,8.03,0,2.87
 60-70,0,0,13.74,0,695.9,0.98,4.91,4.91,63.8,0.98,0.98,2.94,1.96,0,0.98,4.91,0.98,0.98,62.82,0,3.93,4.91,3216.45,0.98,16.69,2.94,0,1.96,8.83,0,0.98,0.98,0,417.15,0,1.96,9.82,1.96,1.96
 72-82,2.94,0.98,13.74,6.87,588.02,1.96,1.96,2.94,62.83,2.94,0,4.91,0.98,1.96,0.98,5.89,0,0.98,105.04,0.98,6.87,10.8,1895.59,0.98,16.69,10.8,0.98,1.96,12.76,0,0,0.98,0,203.2,0.98,4.91,10.8,0.98,3.93
 84-94,3.19,0,21.24,2.12,404.64,1.06,5.31,6.37,72.22,2.12,0,2.12,10.62,3.19,1.06,4.25,0,1.06,79.65,1.06,11.68,10.62,995.13,4.25,15.93,6.37,0,1.06,26.55,0,1.06,0,0,104.08,1.06,2.12,10.62,2.12,1.06
 96-106,8.74,0,16.39,4.37,302.72,0,2.19,5.46,67.76,4.37,0,0,5.46,3.28,1.09,3.28,1.09,0,55.74,1.09,6.56,7.65,601.07,1.09,15.3,12.02,0,5.46,34.97,0,0,0,0,38.25,0,2.19,12.02,4.37,2.19
108-118,2.3,0,14.55,1.53,190.72,0,9.19,4.6,55.92,2.3,0,1.53,3.83,1.53,3.83,0,0,1.53,39.06,0,3.06,4.6,763.67,0,9.96,9.19,0,2.3,13.02,0,0,0,0,36,2.3,2.3,10.72,3.06,0.77
120,1.96,0,9.8,7.84,174.42,0,7.84,1.96,54.87,5.88,0,0,5.88,1.96,0,1.96,1.96,0,58.79,0,0,5.88,595.77,1.96,5.88,9.8,0,0,5.88,0,0,0,0,27.44,0,1.96,13.72,3.92,0
