stage,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.64,0.82,7.39,0,1.64,0,0.82,0.82,0,0,4.1,0,0,0,0,0.82,0,0,0.82,0,0,0,0,0
 36-46,1.61,0,0,0,8.86,0,0,0,0.81,0.81,11.28,0,0.81,0.81,0.81,0,0,0.81,14.5,0,0,0.81,0,1.61,0,0,0,0,0,0,0,0
 48-58,1.15,0,0,4.02,26.4,0,1.15,0,2.3,1.72,7.46,0,1.15,0,15.49,0.57,0.57,0.57,32.71,0,0.57,1.15,0,6.89,0,0,4.02,0,1.72,0,0,0
 60-70,1.96,2.94,0,3.93,20.61,0,1.96,0,4.91,0.98,5.89,0,0,0,20.61,0,1.96,5.89,7.85,0,0,0.98,0.98,1.96,0,1.96,0,0,1.96,0.98,1.96,0
 72-82,3.93,15.71,0,10.8,26.5,0,0.98,0.98,3.93,25.52,11.78,0,2.94,0,61.84,0,14.72,6.87,26.5,0.98,0,8.83,4.91,7.85,0,0.98,0,0.98,9.82,2.94,22.58,0.98
 84-94,9.56,3.19,0,6.37,24.43,0,4.25,3.19,2.12,42.48,22.3,0,2.12,0,26.55,0,8.5,3.19,16.99,0,3.19,3.19,0,8.5,0,1.06,3.19,5.31,6.37,1.06,16.99,0
 96-106,18.58,8.74,1.09,17.49,54.64,2.19,5.46,6.56,9.84,76.5,29.51,0,6.56,7.65,103.82,1.09,18.58,8.74,40.44,1.09,1.09,15.3,5.46,16.39,0,2.19,1.09,27.32,12.02,12.02,45.9,0
108-118,13.79,3.06,3.83,6.89,24.51,0,3.06,4.6,6.13,50.55,46.72,0.77,6.13,3.83,56.68,0.77,9.96,9.96,19.15,0.77,2.3,13.02,3.83,9.19,0,1.53,0.77,29.11,4.6,3.06,30.64,0
120,11.76,9.8,0,3.92,17.64,1.96,1.96,7.84,3.92,107.79,23.52,1.96,3.92,0,52.91,0,9.8,11.76,27.44,1.96,0,15.68,5.88,0,1.96,1.96,1.96,11.76,3.92,3.92,48.99,0
