stage,endocrine_pancreas,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,1,3,2,0,0,0,0,0,0,0,0,0,5,0,0,2,13,0,0,0,1,0,0,1,3,6,0,0,0,0
 24-34,1.64,0.82,0,1.64,0.82,0,0.82,0,0,0,0,0.82,4.93,0,0,0,81.26,0,0,0.82,0,1.64,0.82,0,0,7.39,0,0,0.82,0
 36-46,0,0,0.81,1.61,0,0,0,0,0,0,0,0.81,7.25,0,0,0.81,149.05,0,2.42,0.81,0,0,0,0,0,19.34,0,0,0.81,0
 48-58,0,0,0.57,3.44,0,0,1.15,1.15,2.3,0,0,0,2.87,0,0,0,51.64,0,0,2.3,0,0,0,0,0,5.16,0,0,0.57,0
 60-70,0,0,0.98,4.91,2.94,1.96,1.96,0,1.96,0,0,2.94,11.78,0,0,0,52.02,0,0,2.94,0,0,0,0,0,0.98,0,0,1.96,0
 72-82,3.93,0,0,8.83,0,1.96,1.96,0,4.91,0,0,0,15.71,0,0.98,1.96,60.86,0,0,2.94,0,0,0,0,0,2.94,0,0,3.93,2.94
 84-94,0,0,2.12,10.62,1.06,0,1.06,2.12,0,0,0,0,12.74,1.06,1.06,0,23.36,1.06,0,1.06,0,0,0,0,0,3.19,1.06,0,1.06,0
 96-106,0,0,2.19,6.56,1.09,1.09,2.19,1.09,4.37,0,1.09,1.09,13.11,0,0,0,21.86,0,1.09,4.37,0,0,0,0,0,0,3.28,1.09,1.09,0
108-118,0,0,0.77,3.83,2.3,0,0.77,0,1.53,0.77,1.53,0.77,3.06,0,0,0,26.81,0,0.77,2.3,0,0,0,0,0,0.77,3.83,0,2.3,0
120,3.92,0,3.92,0,1.96,0,1.96,1.96,0,0,0,0,5.88,0,0,0,41.16,0,0,1.96,0,0,0,0,0,0,7.84,0,0,0
