stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,7,0,0,49,0,0,0,2,0,0,0,0,0,0,0,11,5,0,0,2,31,1,0,2,0,0,0,8,1,1,5,16,0,0,0,2
 24-34,0,0.82,0.82,5.75,0,0,185.51,0,0.82,0.82,4.93,1.64,0,0,0,0.82,0,1.64,112.46,14.78,0,0,4.93,108.35,3.28,0,0.82,0,0,4.93,0,0,0,0.82,43.51,0,3.28,0,4.1
 36-46,0,0,0,2.42,2.42,0,143.41,0.81,0.81,0,5.64,0,0,0,0,1.61,0,0.81,174.02,12.09,0.81,0.81,3.22,85.4,4.83,2.42,0.81,0,0,2.42,0,0,0,0,31.42,0,1.61,0,2.42
 48-58,0,0,0,1.15,1.72,0,165.26,0,0.57,0.57,9.18,0,0,1.15,0.57,2.87,0.57,0,131.98,8.61,0,0,5.16,79.76,2.3,0.57,0.57,0,0,2.3,0,0,0.57,0,17.21,0,1.72,0,1.15
 60-70,0,0,0,5.89,0,0,183.54,0.98,0.98,0,9.82,0,0,0,0,1.96,0,0,93.24,18.65,0,0.98,4.91,83.43,0.98,0,0,0,0,1.96,0,0.98,0,0,17.67,0,0,0,0
 72-82,0,0,0,1.96,2.94,0.98,142.34,0,0,2.94,10.8,0.98,0.98,0.98,0,1.96,0,0,74.61,19.63,0.98,0.98,2.94,54.97,0,0,0.98,0,0,0.98,0,0,0.98,0,3.93,0,0.98,0.98,0.98
 84-94,0,0,0,4.25,1.06,0,245.33,0,0,2.12,10.62,0,0,2.12,0,3.19,1.06,1.06,127.44,15.93,0,1.06,3.19,36.11,4.25,0,1.06,0,0,6.37,0,0,1.06,0,5.31,0,1.06,0,1.06
 96-106,0,0,0,4.37,2.19,1.09,203.27,1.09,2.19,0,9.84,2.19,0,1.09,0,5.46,0,0,78.68,10.93,2.19,0,1.09,42.62,1.09,0,0,0,0,7.65,0,0,0,0,0,0,1.09,1.09,1.09
108-118,0,0,0,2.3,0,3.06,208.34,0,0,2.3,7.66,0.77,0,0.77,0.77,3.06,0,0.77,114.89,13.79,0.77,0,2.3,30.64,0.77,0,0,0,0.77,2.3,0,0,0,0,0.77,0.77,0.77,0.77,1.53
120,0,0,0,0,3.92,0,92.11,0,1.96,0,7.84,3.92,0,0,0,1.96,0,0,48.99,7.84,0,0,1.96,31.36,3.92,0,0,0,0,1.96,0,1.96,0,0,3.92,0,0,0,0
