stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.03,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,17,5,2,0,0,0,0,0
 24-34,0,0,2.46,0.82,0,5.75,27.09,0,0,1.64,0,0,0,0,0.82,0,0,0,4.1,0,0,4.93,51.71,0.82,0,0.82,0,0,2.46,0.82,12.31,21.34,6.57,0,0,2.46,0,0.82
 36-46,0,0,0,0,0,0.81,17.72,0.81,0.81,4.03,0,0,1.61,0,0,0,0,0,10.47,0.81,0,6.45,108.77,3.22,0.81,1.61,0,0,0.81,0,7.25,3.22,12.89,0,0,0,0,0
 48-58,0,0,1.72,0,0,6.89,13.2,0,0.57,5.74,0,0,0.57,0,0,0,0.57,0,16.64,0,0,5.16,142.88,1.15,0.57,1.72,0,0,2.87,0.57,12.62,0,18.36,0,0,2.87,0,1.72
 60-70,0,0,0,0,0,16.69,21.59,0.98,0,4.91,0,0,1.96,0.98,0,0.98,0,0,26.5,0,0,3.93,254.21,0,0,0,0.98,0,3.93,0,9.82,0,5.89,0,0,0,0,0.98
 72-82,0,0,1.96,0,0,38.28,39.27,0.98,1.96,14.72,0,0.98,1.96,0,0,2.94,0,0,38.28,0,1.96,7.85,409.35,0.98,1.96,0.98,0,0,2.94,0,8.83,0,3.93,0,1.96,4.91,2.94,0
 84-94,0,0,4.25,0,0,39.3,69.03,0,1.06,8.5,0,0,1.06,2.12,1.06,1.06,1.06,1.06,13.81,1.06,0,9.56,193.29,0,0,3.19,0,0,7.43,0,23.36,0,3.19,0,1.06,1.06,2.12,2.12
 96-106,0,0,12.02,2.19,1.09,34.97,106.01,1.09,3.28,7.65,4.37,0,5.46,4.37,0,2.19,1.09,2.19,16.39,0,3.28,16.39,240.43,1.09,0,1.09,0,0,4.37,0,20.76,0,2.19,2.19,0,2.19,2.19,0
108-118,0,0,3.83,1.53,0,26.04,102.64,2.3,0,12.26,3.06,0,3.83,0.77,0.77,0.77,0.77,0.77,22.98,0,0,17.62,291.83,0.77,0.77,1.53,0,1.53,2.3,0.77,28.34,0,3.83,1.53,1.53,1.53,3.83,0
120,0,0,5.88,1.96,0,25.48,86.23,3.92,0,3.92,0,0,1.96,3.92,0,0,1.96,1.96,17.64,0,0,13.72,454.67,0,0,0,0,0,7.84,3.92,7.84,0,9.8,0,0,0,1.96,0
