stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,461.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.36,0,0,0,0,0,0,0,0,0,0,0
  5-6,42.91,410.69,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0
  7-9,18.4,23.66,0,13.14,0,0,0,36.8,0,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,357.5,10.51,0,0,89.38,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,6.29,0,12.59,0,3.15,0,44.06,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,267.49,12.59,0,0,91.26,0,3.15,0,15.73,0,3.15,0,0,0,0,0,0
 14-21,0,0,0,2,15,3,0,4,0,0,0,4,3,0,1,0,1,0,0,0,9,0,0,3,112,5,1,0,2,1,0,9,2,0,19,45,0,0,1,0,0
 24-34,0,0,0,0,15.6,0,0,18.88,0,0.82,0.82,3.28,0,0,1.64,0,0,0,0,0,21.34,0.82,0,9.03,265.96,2.46,4.1,4.1,0,4.93,0,0,0.82,0,0.82,61.56,0,0,6.57,0,0.82
 36-46,0,0,0,0,1.61,0,0,37.06,0.81,1.61,0.81,10.47,0,0,0,0,0,1.61,0,0,22.56,0,0,5.64,212.7,3.22,1.61,0.81,0,4.03,0,0,0.81,0,0,51.56,0,0,1.61,0,0
 48-58,0,0,0,0,5.74,0,0,60.25,0,0.57,0,11.48,0,0,1.72,0.57,0,0.57,0,0.57,20.66,0.57,0,3.44,148.04,0,0,0.57,0,2.3,0,0,0,0,0,34.43,0,0.57,0.57,0,0
 60-70,0,0,0,0,9.82,0,0,84.41,0,0,0.98,17.67,1.96,0,0,0,1.96,0.98,0.98,0,30.43,0,0.98,1.96,160.97,0,1.96,0.98,0,1.96,0,0,0.98,0.98,0,22.58,0,1.96,4.91,0,0
 72-82,0,0,0,0,7.85,1.96,0,57.92,0.98,0,0.98,26.5,1.96,0,0.98,0,0,0.98,0,0.98,39.27,0,0,6.87,122.71,0,2.94,3.93,0,3.93,0,0,0,0,0,14.72,0.98,0,4.91,0,1.96
 84-94,0,0,0,0,8.5,7.43,1.06,35.05,0,1.06,2.12,11.68,0,0,0,1.06,0,0,0,0,29.74,0,3.19,2.12,57.35,1.06,0,4.25,0,8.5,0,0,1.06,0,0,10.62,0,1.06,6.37,0,0
 96-106,0,0,1.09,0,4.37,4.37,0,25.14,0,1.09,0,9.84,2.19,0,0,1.09,1.09,0,1.09,0,25.14,2.19,0,6.56,46.99,0,1.09,6.56,0,7.65,0,0,1.09,0,0,3.28,0,0,5.46,1.09,0
108-118,0,0,0.77,0.77,4.6,1.53,1.53,17.62,0,0.77,0.77,13.79,0.77,0,0.77,0.77,1.53,1.53,0,1.53,21.45,0.77,0.77,3.06,62.81,1.53,3.83,3.83,0,3.06,0,0,0,0,0,3.06,1.53,0.77,1.53,0,0.77
120,0,0,0,0,11.76,5.88,0,31.36,1.96,0,1.96,9.8,0,0,0,1.96,3.92,0,0,0,37.24,1.96,0,3.92,88.19,0,1.96,0,0,11.76,0,0,0,0,0,5.88,0,0,7.84,0,0
