stage,endocrine_pancreas,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,neural,notochord,olfactory,periderm,pronephros,spinal_cord,vasculature,xanthophores
 14-21,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.61,0,0,0.81,0,0,0,0
 48-58,0,1.72,0,2.3,1.15,0.57,0.57,0.57,0,0,0,0,0,0,0,0,0,2.87,0,0,0,0,0,0,0
 60-70,0,12.76,0,3.93,0,0,0,7.85,0,0,0,0,0,0,0,0,0,2.94,0,0.98,0.98,0,0,0,0
 72-82,0,16.69,2.94,4.91,0,0,0,42.21,0,0,0.98,0,0,0,2.94,0.98,0,16.69,0,1.96,0,0,0.98,0,0
 84-94,1.06,12.74,1.06,1.06,1.06,0,0,78.59,0,0,3.19,0,0,1.06,1.06,0,0,6.37,1.06,2.12,0,0,0,0,0
 96-106,4.37,34.97,4.37,4.37,1.09,0,3.28,119.12,0,0,3.28,0,0,0,2.19,0,1.09,14.21,0,7.65,2.19,0,0,1.09,1.09
108-118,0.77,36,0.77,2.3,0.77,0,1.53,150.13,0.77,0.77,4.6,0.77,0,0,3.83,0,0.77,17.62,0,8.43,1.53,0.77,0,0,0
120,0,27.44,1.96,5.88,1.96,0,1.96,97.99,0,0,5.88,3.92,1.96,0,0,0,0,15.68,0,3.92,3.92,1.96,1.96,0,0
