stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,3.15,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,0,0,0,0,0,2,1,1,0,2,0,0,0,0,0,0,0,2,1,0,0,0,0,0,1,1,2,2,0,0,0,0,0
 24-34,0,0,1.64,0,0,0,0.82,0.82,0,0.82,0,0,0,0,5.75,0,0,0,4.1,0,0,0,4.93,3.28,0,0,0,0,1.64,0.82,0,1.64,0,0,0,2.46,0,0.82
 36-46,0,0,0.81,0.81,0,1.61,0.81,3.22,0,0,0,0,0.81,0,2.42,0,0,0.81,8.06,0.81,0,4.03,4.83,2.42,0.81,0,0,0,2.42,0.81,0,0,1.61,0,0,1.61,0,0
 48-58,0,0,1.72,0,0,0.57,0,0.57,1.15,2.87,0,0,0,0,0.57,0.57,0,0,10.33,0,0.57,1.72,4.02,2.87,0,0,0,0,2.3,0,0.57,0,2.3,0,0,0.57,0,0
 60-70,0,0,0.98,0,0,1.96,1.96,0.98,1.96,1.96,0,0,0,3.93,0,0.98,2.94,0,21.59,0,1.96,0.98,4.91,1.96,0,0,0,0.98,2.94,0,0,0,0,0,0,1.96,0,0.98
 72-82,1.96,0,1.96,0.98,0,4.91,0.98,0,0.98,2.94,2.94,0,0.98,0.98,0.98,0,0.98,0,30.43,0,2.94,0.98,1.96,0.98,0,0,0,0,0,0,0,0,0.98,0,0.98,1.96,0.98,0
 84-94,1.06,0,7.43,0,0,3.19,1.06,2.12,0,4.25,3.19,0,0,1.06,1.06,0,0,1.06,20.18,0,1.06,2.12,3.19,3.19,0,0,0,0,0,2.12,0,0,2.12,0,1.06,0,1.06,1.06
 96-106,1.09,0,4.37,1.09,0,5.46,1.09,0,0,4.37,3.28,0,1.09,3.28,2.19,0,0,1.09,25.14,0,2.19,2.19,7.65,2.19,1.09,1.09,0,1.09,1.09,0,0,0,3.28,1.09,1.09,4.37,3.28,1.09
108-118,0.77,0,4.6,3.06,0.77,10.72,1.53,5.36,1.53,6.89,6.13,0,0.77,3.06,0.77,1.53,1.53,0,19.15,0,1.53,2.3,1.53,0.77,0.77,1.53,0,1.53,3.83,1.53,0.77,0,0,0.77,0,2.3,0.77,0.77
120,0,0,3.92,0,0,0,1.96,0,0,3.92,5.88,0,0,1.96,0,0,0,0,9.8,0,1.96,0,7.84,3.92,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
