stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,heart,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,13.18,144.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,73.56,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,5.26,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,5,0,0,0,0,3,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.82,0.82,0,7.39,0,0.82,0,0,4.1,0,0,0.82,0
 36-46,0,0,0,0,0.81,0,0.81,0,0,0,0,0,0,0,0,1.61,0.81,1.61,0,0.81,0,0,0.81,0,0,0,0
 48-58,0,0,0,0,0,0.57,0,2.87,0,0,0,0,0.57,0,0,1.72,0,2.87,0.57,0,0,0,1.15,0,0,0,0
 60-70,0,0,0.98,0,0,0.98,0,1.96,2.94,0,0,0,0,0,0.98,0.98,0.98,3.93,0,0.98,0,0,0,0.98,0,0,0
 72-82,0,0,1.96,0,0,1.96,0,3.93,9.82,0,1.96,0.98,0,0,0,0.98,0,1.96,0,0,0,0,0,0,0,0,0
 84-94,0,0,1.06,0,0,0,0,2.12,14.87,0,3.19,0,0,0,0,2.12,0,1.06,0,0,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,0,1.09,0,0,10.93,1.09,4.37,2.19,0,1.09,0,6.56,0,2.19,0,1.09,0,1.09,0,0,2.19,0,0
108-118,0,0,2.3,0,0.77,0,0.77,1.53,8.43,0,3.83,3.06,0,0,1.53,3.83,0,1.53,0.77,4.6,0,0,0,0,0,0,1.53
120,0,0,0,0,1.96,0,0,0,1.96,0,0,0,0,0,0,1.96,0,5.88,0,1.96,0,0,0,0,0,0,0
