stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,935.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,196.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,4,1,0,0,0,0,2,5,0,1,1,1,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,1.64,0,0,0,0,0,8.21,0,0,0,0,0.82,2.46,0,0,0,18.06,0.82,0,0,0,5.75,0,0,0.82,0,0,1.64,0,15.6,0,0
 36-46,0,0,0,0,0.81,0,0,0,0,0,0.81,0,0,19.34,0,0,0,0,0,1.61,0,0,0,24.98,0,0.81,0,0,7.25,0,0,0.81,0,0,4.03,0,0.81,0,0
 48-58,0,0,0,0,0.57,0,0,0.57,0,0.57,0,0,0.57,23.53,0,0,0.57,0,0,1.15,0,0,0.57,9.75,1.72,0,0,0,5.74,0,0,0,0,0,1.72,0,8.03,0,0
 60-70,0,0,0,0,2.94,0,0,4.91,0,0,1.96,0,0,31.41,0,0,0,0,0,3.93,0,0,0,8.83,0,1.96,0,0,12.76,0,0,0,0.98,0,0.98,0,4.91,0.98,1.96
 72-82,0,0,0,0,1.96,0,0,0.98,0,0,7.85,2.94,0.98,53.01,0,0,0,0,0,7.85,0,0,1.96,14.72,0,1.96,0,0,15.71,0,0,0.98,0,0,4.91,0,23.56,0,0
 84-94,0,0,0,0,6.37,0,0,2.12,2.12,0,5.31,3.19,0,73.28,0,0,3.19,0,0,3.19,0,4.25,0,8.5,3.19,3.19,0,0,39.3,0,0,2.12,0,0,0,1.06,12.74,0,1.06
 96-106,0,0,1.09,1.09,9.84,0,0,7.65,0,0,6.56,3.28,1.09,74.31,1.09,0,0,1.09,0,5.46,0,0,0,4.37,6.56,2.19,0,0,36.06,0,0,0,0,0,0,2.19,22.95,1.09,3.28
108-118,0,0,2.3,0,6.13,0.77,0.77,0,0.77,0,1.53,6.13,0,62.04,0.77,0.77,3.83,0,0,2.3,0,0,0,10.72,1.53,5.36,0,0.77,44.43,0.77,0,1.53,0,0,0,2.3,15.32,0.77,0
120,0,0,0,0,9.8,3.92,0,0,1.96,0,3.92,3.92,0,72.51,1.96,0,1.96,1.96,0,1.96,1.96,0,0,11.76,0,5.88,0,0,39.2,0,0,1.96,0,0,0,0,15.68,0,0
