stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,lateral_line,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vasculature
  3-4,26.36,39.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,5.26,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,23.66,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,6.29,0,0,3.15,0,0,0,3.15,0,0,0,0,0,18.88,3.15,0,0,3.15,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,4,0,1,0,1,0,0,0,0,1,0,1,11,0,0,0,1,0,1,5,0,1,4,5,0,1
 24-34,0,0,0,0,0,1.64,0,0,0,0,0,0,0.82,0,0,6.57,0,0,0,0,0,1.64,0,0,0,1.64,3.28,0,0
 36-46,0,0,0,0,0,3.22,0,0,0,0,0,0,0,0,0,6.45,0,0,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,3.44,0.57,0.57,0,0,0,0,1.15,0,0.57,3.44,0,0,0,0,0,0.57,0,0,0,0,1.15,0,0.57
 60-70,0,0,0,0,0,0.98,0,0.98,0,0,0,0,0.98,0,0,0.98,0,0,0,0,0,0.98,0,0,0,0,0,0,0
 72-82,0,0,0,0,0,6.87,0,0.98,0,0,1.96,0,0,0,0,2.94,0,0,0,0,0,0,0,0,0,0,0.98,0,0
 84-94,0,0,0,0,1.06,3.19,0,0,0,0,1.06,0,3.19,0,0,0,0,1.06,0,0,0,1.06,0,0,0,0,0,0,0
 96-106,0,0,0,1.09,0,5.46,0,1.09,0,0,1.09,0,2.19,0,0,5.46,1.09,0,1.09,0,1.09,2.19,0,0,0,0,0,1.09,1.09
108-118,0,0,0,0,0,2.3,0,2.3,0.77,0,1.53,0.77,0.77,0.77,0,3.06,0,0,0,0,0,1.53,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96,0,3.92,0,0,0,0,0,11.76,0,0,0,0,0,0,0
