stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,79.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,10.51,0,0,0,7.89,0,2.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,6.29,0,6.29,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,1,6,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,0,0,3,54,3,0,0,0,0,0,1,0,0,2,21,0,0,0,0,0
 24-34,0,0,1.64,0.82,0,0,1.64,0,0,0.82,0,0,0,0,0,0,0,0.82,0,11.49,0,0,0,143.65,0,0.82,0,0,0,0,0,0.82,0,0.82,52.53,0,0,0,0,0
 36-46,0,0,2.42,0,0.81,0,4.83,0,0,4.03,0,0,0,0,0,0,0,0,0,8.86,0,0,0.81,335.96,0.81,0,0,0,0,0.81,0,0.81,0,0,64.45,0,0,0.81,0,0
 48-58,0,0,1.15,0,0,0,22.95,1.15,0.57,4.59,0,0,0,0,0,0,0,0,0.57,20.08,0.57,0,4.02,484.29,0,1.15,0.57,0,0,1.72,0,0,0,0,48.2,0,0.57,1.15,0,0
 60-70,0,0,0,2.94,0,0,42.21,0,0,6.87,0,0,0,0,1.96,0,0,0.98,0.98,18.65,0,2.94,2.94,737.12,0,0,0.98,0,0,2.94,0,0,0,0,60.85,0,1.96,0.98,0,1.96
 72-82,0,0,0.98,0.98,3.93,0,91.29,0.98,1.96,33.38,1.96,0,2.94,1.96,0,0.98,0,0.98,0,32.39,0,4.91,3.93,869.75,1.96,3.93,4.91,0,0,0,0,0.98,0,0,58.9,0.98,1.96,5.89,0,0.98
 84-94,0,0,0,7.43,2.12,0,74.34,0,1.06,15.93,0,0,2.12,0,0,0,0,0,0,22.3,0,2.12,2.12,424.81,0,1.06,2.12,0,1.06,1.06,0,1.06,1.06,0,29.74,0,1.06,3.19,1.06,1.06
 96-106,0,0,2.19,7.65,3.28,0,89.61,0,0,26.23,0,0,1.09,0,0,0,0,1.09,0,21.86,0,1.09,2.19,369.38,0,0,2.19,0,0,2.19,0,0,1.09,0,20.76,0,0,2.19,1.09,0
108-118,0,0,0,6.13,1.53,0.77,55.92,0.77,0,27.57,0,0,0.77,3.83,1.53,0,0.77,0,0,16.09,0,0.77,6.89,454.98,0,0.77,6.13,0,0.77,0,0,0,0,0,18.38,0.77,0.77,1.53,0,0
120,1.96,0,1.96,13.72,0,0,68.59,0,0,15.68,1.96,0,0,1.96,1.96,0,0,3.92,0,25.48,0,1.96,1.96,568.34,0,0,5.88,0,1.96,0,0,0,0,0,37.24,0,0,7.84,1.96,0
