stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,276.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,226.8,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,10.51,5.26,0,10.51,0,0,0,34.17,0,0,0,0,10.51,0,0,0,0,0,0,0,0,0,0,0,231.33,5.26,0,0,65.72,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,15.73,0,6.29,0,0,0,15.73,0,0,0,0,9.44,0,0,0,0,0,0,0,0,0,0,0,213.99,6.29,0,0,72.38,0,0,0,3.15,0,3.15,0,0,0,0,0
 14-21,0,0,0,0,6,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,18,2,0,0,0,0,0,4,0,6,8,0,0,0,0,0
 24-34,0,0,0,0,3.28,0,0,8.21,0,0,0.82,0,0,0,0,0.82,0,0.82,0,0.82,4.1,0,0,0.82,65.67,0,0,2.46,0,3.28,0,0,0,1.64,9.85,0,0,3.28,0,0
 36-46,0,0,0,0,3.22,0,0,10.47,0,0,8.06,0,0,0,0,0.81,0,0,0,0,4.03,0,0,1.61,75.73,0,0,0,0,0.81,0,0,0,0,9.67,0,0,0.81,0,0
 48-58,0,0,0,0,1.15,0,0,33.28,0,0,10.33,0,0,0,0.57,0,0.57,0,0.57,0,10.33,0.57,0,2.3,74.59,0,0,2.87,0,0.57,0,0,0,0,16.07,0,0,0.57,0,1.72
 60-70,0,0,0,0,0.98,0.98,0,50.06,0.98,0,8.83,0,0,0.98,0.98,0,0,0,0,0,13.74,0,0,1.96,61.84,0,0,2.94,0,0.98,0,0,0,0,9.82,0,0,4.91,0,0.98
 72-82,0,0,0.98,0,2.94,0,0,38.28,0.98,0.98,5.89,0,0,0,0,0,0,0,0,0,17.67,0,0,0,49.08,0.98,0,2.94,0,1.96,0,0,0,0,4.91,4.91,0.98,4.91,0,0
 84-94,0,0,0,0,3.19,1.06,0,11.68,0,0,0,1.06,0,0,0,1.06,0,0,0,0,10.62,1.06,1.06,0,21.24,0,0,10.62,0,3.19,0,0,0,0,1.06,32.92,0,1.06,0,0
 96-106,0,0,0,0,6.56,0,1.09,14.21,0,0,2.19,2.19,0,0,1.09,0,0,0,1.09,0,6.56,0,0,0,17.49,0,2.19,10.93,0,2.19,0,0,0,0,0,85.24,1.09,0,1.09,2.19
108-118,0,0,0,0,3.06,0.77,0,17.62,0.77,0,2.3,2.3,0,0,1.53,0,0,0,0.77,0,7.66,0.77,0,3.83,24.51,0,0,4.6,0,0.77,0,0,0,0,0,127.15,0,1.53,0,0.77
120,0,0,0,0,3.92,1.96,0,11.76,0,0,5.88,0,0,0,1.96,0,0,0,0,0,1.96,0,0,3.92,27.44,0,0,0,0,1.96,0,0,0,0,1.96,33.32,0,0,1.96,0
