stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,316.27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,367.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,2.63,10.51,0,0,0,10.51,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,92,2.63,0,0,78.86,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.44,6.29,0,0,0,3.15,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,116.44,0,0,0,75.53,0,0,3.15,0,0,0,0,0,0,0,0,0
 14-21,0,0,1,13,4,0,3,0,0,0,2,0,0,0,0,0,0,0,0,0,15,0,0,8,97,1,1,3,4,0,0,11,0,1,7,31,0,0,1,0,0
 24-34,0,0,0.82,9.85,0.82,0,9.03,0,1.64,0.82,4.1,0,0,2.46,0,0,0.82,0.82,0,3.28,50.89,0,0,15.6,139.55,1.64,1.64,0.82,0,0,0.82,0.82,0,0,1.64,52.53,0,0,9.03,0,3.28
 36-46,0,0,0,8.06,0,0,31.42,0,3.22,0,8.06,0.81,0,0.81,0,0,2.42,0,0,0.81,66.87,0,0,10.47,197.39,0.81,2.42,1.61,0,0,0,0,0,0,0,61.23,0,0,6.45,0,0
 48-58,0.57,0,0,9.18,0,0,39.02,0,3.44,1.72,8.61,0.57,0,0,0,0,4.02,0.57,0,0,66.56,0.57,1.72,5.74,105.01,0,0.57,1.15,0,0,0.57,0,0,0,0,29.26,0,0,5.74,0,4.59
 60-70,0,0,0,14.72,1.96,0,133.49,0,6.87,10.8,40.24,1.96,0,0,3.93,0,6.87,1.96,1.96,0,118.76,3.93,0,8.83,169.8,0.98,0,0,0,0,2.94,0,0,0,0,34.35,0,0.98,4.91,0,2.94
 72-82,0,0,0,14.72,0,0,101.11,0,4.91,12.76,47.12,7.85,0,0.98,0.98,0.98,2.94,3.93,0,0.98,130.56,1.96,0,10.8,107.98,0,2.94,1.96,0,0.98,2.94,0,0,0,0,20.61,0,0,14.72,0,2.94
 84-94,0,0,0,37.17,3.19,0,55.23,0,15.93,6.37,32.92,36.11,0,2.12,2.12,0,3.19,5.31,1.06,0,112.58,1.06,0,4.25,54.16,0,2.12,0,0,2.12,3.19,0,1.06,0,0,10.62,0,0,6.37,0,2.12
 96-106,0,0,0,26.23,2.19,1.09,32.79,1.09,8.74,6.56,43.71,22.95,0,2.19,6.56,1.09,9.84,4.37,0,0,110.38,5.46,3.28,2.19,51.36,0,4.37,7.65,0,1.09,8.74,0,1.09,0,0,2.19,0,1.09,17.49,0,4.37
108-118,0,0,0,37.53,1.53,0,29.11,1.53,21.45,7.66,36.77,32.17,0,0,6.13,0,22.98,6.89,0.77,3.83,129.45,6.89,0.77,4.6,55.92,0,6.89,3.06,0,1.53,3.83,0,0,0,0,3.06,2.3,0,11.49,0.77,22.21
120,0,0,0,50.95,0,0,23.52,0,7.84,3.92,35.28,17.64,0,0,9.8,0,5.88,5.88,0,0,92.11,1.96,0,0,52.91,1.96,1.96,1.96,0,0,1.96,0,0,0,0,0,0,1.96,7.84,0,9.8
