stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,lateral_line,liver,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle
  5-6,128.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,28.92,0,5.26,2.63,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,105.15,0,0,0,2.63,0,2.63,2.63,0,0,0,0,0,0
 10-12,25.18,245.46,0,84.97,9.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1022.77,6.29,0,0,9.44,0,12.59,3.15,15.73,0,0,0,0,0
 14-21,0,8,727,10,1,0,0,0,0,1,7,11,0,4,0,0,92,1,0,18,72,1,0,2,0,0,39,0,0,3,4,4,0,0
 24-34,0,4.1,256.11,1.64,4.1,0,0,0,0,0,0,4.93,0,0,0,1.64,46.79,1.64,0,6.57,54.18,0,0.82,0,0,0,11.49,0,0.82,0,0,4.1,0,0
 36-46,0,1.61,75.73,2.42,0,0,2.42,0,0,0,0,4.03,0,0,1.61,0,15.31,0,0,0,15.31,0,0.81,0.81,0,0.81,4.83,0,0,0,0,0.81,0,0
 48-58,0,0,52.22,1.15,2.3,0,0.57,0.57,0,0,0,1.72,0,0,4.59,0,4.59,1.15,0,1.15,7.46,0,0,1.15,0,0,1.15,0,0,0,0,0.57,0,0
 60-70,0,0,30.43,0,0.98,0,0,0,0,0,0,0,0,0,12.76,0,0.98,0,0,0,2.94,0,0,1.96,0,0,2.94,0,0,0,0,0,0,0
 72-82,0,0,18.65,0,1.96,0,0,0,0,0,0,0.98,0,0.98,13.74,0,0,0,1.96,0,2.94,0,0,0,0,0,0,0,0,0,0,0,0,0.98
 84-94,0,0,37.17,0,1.06,0,0,0,0,1.06,0,1.06,1.06,0,14.87,0,1.06,0,3.19,0,2.12,0,0,0,0,1.06,2.12,0,0,0,0,0,0,0
 96-106,0,0,37.16,0,0,1.09,0,0,0,1.09,0,0,0,0,17.49,0,1.09,0,3.28,0,3.28,0,0,1.09,0,0,3.28,0,0,0,0,0,2.19,1.09
108-118,0,0,29.87,0,0.77,0,0.77,0,0.77,0,0,0.77,0,0.77,14.55,0,1.53,0,0.77,0,5.36,0,0,0,0,2.3,0.77,0,0,0,0,0,1.53,0.77
120,0,0,15.68,0,0,0,0,0,0,1.96,0,0,0,0,7.84,0,0,0,1.96,0,3.92,0,0,0,0,1.96,0,0,0,0,0,0,0,0
