stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,10.51,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.73,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,2,21,0,1,0,0,0,1,1,6,12,0,0,0,0,0
 24-34,0,0,0.82,0,7.39,0,0,0,0.82,0,0,0,0.82,0,0,0,1.64,4.1,0,0.82,89.47,1.64,0,0,0,0,0,0,0.82,27.09,0,0,0.82,0,0
 36-46,0,0,0,0,24.98,0,0,0,0.81,0,0,0,0,0,0,0,0,4.83,0,0.81,147.44,0,3.22,0,0,0,0,0,0,45.12,0,0,0.81,0,0
 48-58,0,0,0,0,43.04,0,0,0,5.16,0,0,0.57,0,0,0.57,0,0,3.44,0,0,123.94,0.57,0.57,0.57,0,0,0,0,0,33.85,0,0,1.72,0,1.15
 60-70,0,0,0,0,99.13,0,0,0,5.89,0,0,0,0,0,0,0,0,6.87,0,0.98,159.99,0.98,0.98,0,0,0,0,0,0,24.54,0,0,0,0,0.98
 72-82,0,0,2.94,0.98,79.51,0,0,0.98,10.8,0.98,0,1.96,1.96,0,0,0,0,14.72,0.98,0.98,132.52,0,1.96,0.98,0,0.98,0,0,0,3.93,0,0,6.87,0,0
 84-94,0,0,0,1.06,58.41,0,0,0,6.37,0,0,0,3.19,1.06,0,0,1.06,9.56,0,0,70.09,0,0,1.06,0,1.06,0,0,0,7.43,0,0,2.12,0,0
 96-106,0,0,1.09,0,32.79,0,1.09,0,13.11,0,0,0,4.37,2.19,0,0,0,16.39,0,1.09,50.27,1.09,3.28,1.09,0,0,0,0,0,7.65,1.09,2.19,2.19,3.28,0
108-118,0,2.3,1.53,1.53,22.98,0.77,0,0,9.19,0,0,0,0.77,0,0,0,0.77,3.83,1.53,0,61.28,0,0,0,0,0,0,0,0,3.06,0,0,0.77,0,0
120,0,0,0,1.96,27.44,0,0,1.96,5.88,0,0,0,0,0,0,1.96,0,7.84,1.96,3.92,48.99,0,0,0,0,1.96,0,0,0,3.92,0,0,0,0,0
