stage,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,4,1,0,0,0,0,0,0,1,0,0,1,0,0,8,0,0,0,0,0,1,0,2,2,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,1.64,0,0,2.46,0.82,2.46,9.03,0.82,0.82,0,0,0,0,0,0,0.82,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0.81,1.61,0,2.42,4.83,0,9.67,0,0,0,0.81,0,0,0,0,1.61,0.81,0,0,0.81
 48-58,0,0,1.72,0,0,0,4.59,0,0.57,4.02,0,5.16,21.8,0.57,7.46,0.57,0,0,2.3,0,0,0,0,5.74,1.72,0,0,0
 60-70,0,0.98,2.94,0.98,0,0,2.94,0,0,7.85,0,8.83,40.24,1.96,3.93,0,0,0,4.91,0,0,0,0,0,12.76,0,12.76,0
 72-82,0.98,10.8,13.74,0,0.98,0.98,14.72,0,2.94,21.6,0,27.49,58.9,4.91,15.71,0,0,2.94,10.8,0,0,0,0,3.93,18.65,0.98,58.9,0
 84-94,0,4.25,5.31,0,0,0,0,0,4.25,37.17,0,9.56,62.66,2.12,1.06,0,0,0,5.31,0,0,1.06,0,3.19,20.18,1.06,58.41,0
 96-106,0,2.19,14.21,0,1.09,1.09,13.11,1.09,4.37,53.55,2.19,32.79,64.48,8.74,19.67,0,0,2.19,30.6,1.09,0,1.09,0,2.19,21.86,0,89.61,0
108-118,0.77,2.3,6.89,0,0,1.53,6.89,2.3,0,44.43,2.3,27.57,50.55,3.06,11.49,0.77,0,2.3,28.34,0,0,0,0,0,7.66,3.06,54.38,0.77
120,5.88,3.92,1.96,0,1.96,0,1.96,1.96,0,37.24,1.96,39.2,50.95,3.92,7.84,0,0,3.92,19.6,0,0,0,0,1.96,21.56,1.96,78.39,0
