stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mucous,mural_cell,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pronephros,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,6.13,0,0,0,0,0
  7-9,0,5.26,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,21.03,0,0,0,2.63,0,0,0,0,0,0
 10-12,3.15,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207.7,3.15,0,0,6.29,6.29,3.15,0,0,0,0
 14-21,0,0,326,6,1,0,0,2,1,0,0,6,0,0,6,0,0,6,0,0,0,1,7,0,0,0,2,0
 24-34,0,0,9.85,0.82,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0.82,0,4.1,0,0.82,0,1.64,0
 36-46,0,0,3.22,0,0,0,0,0,0,0,0,0,0,0,0.81,0.81,0,2.42,0,0.81,0,0,3.22,0,0.81,0,2.42,0
 48-58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.57,0.57,0,1.15,0,0,0,0,2.87,0,0,0,2.3,0
 60-70,0,0,0,0,0,0,1.96,0,0,0.98,0,0,0,0,2.94,0,0.98,1.96,0,0,0,0,1.96,0,0,0,0,0
 72-82,0,0,2.94,0,0,0,3.93,0.98,0,0,0.98,0,0,0,3.93,0,0,7.85,0,0,0,0,1.96,0,0.98,0,3.93,0
 84-94,0,0,2.12,0,0,0,0,1.06,0,0,2.12,0,0,0,5.31,0,1.06,2.12,1.06,0,0,0,9.56,0,0,3.19,1.06,0
 96-106,0,0,4.37,0,1.09,1.09,6.56,5.46,0,2.19,3.28,1.09,0,0,1.09,1.09,1.09,4.37,0,0,1.09,0,3.28,0,0,0,1.09,2.19
108-118,0,0,1.53,0,0,0,7.66,3.06,0,0,6.13,0.77,0.77,0.77,2.3,0.77,0.77,0.77,0,0,1.53,0,6.13,0,0.77,0.77,0.77,0.77
120,0,0,5.88,0,0,0,1.96,1.96,0,0,3.92,0,1.96,0,1.96,0,0,0,0,0,0,0,5.88,0,0,0,1.96,0
