stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,spinal_cord,vasculature,visceral_smooth_muscle
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,3.15,3.15,0,6.29,0,0,0,0
 14-21,0,0,1,4,0,3,0,0,0,1,0,0,1,0,2,2,5,0,0,0,1,0,0
 24-34,0,0.82,0,9.85,0,0.82,0,0,0,0,0,0,6.57,0,0.82,1.64,1.64,0.82,0,0.82,0.82,0,0
 36-46,0,0,0,5.64,0,0,0,0,0,0,0,0,7.25,0,0.81,4.03,0.81,0.81,0,0,0,0.81,0
 48-58,0,0,0,0.57,0,0,0,1.15,0,0,0,0,8.03,0,0.57,5.74,1.15,0.57,0,0,1.72,0,0
 60-70,0,0,0,0.98,0,0.98,0,0.98,0,0,0,0,26.5,0,2.94,5.89,0.98,0.98,0,0,0.98,0,0
 72-82,0,0,0,4.91,0,1.96,0,0.98,1.96,0,0,0,25.52,0,0.98,3.93,1.96,0.98,0,0,0,0,0
 84-94,0,0,0,6.37,0,4.25,1.06,0,1.06,0,0,0,13.81,0,0,4.25,0,2.12,0,0,0,0,0
 96-106,0,0,0,4.37,1.09,1.09,0,0,0,0,0,0,10.93,0,3.28,1.09,0,3.28,0,0,0,0,0
108-118,0,0,0,7.66,0,2.3,0,3.06,0,0,0,0,10.72,0.77,0.77,1.53,0.77,0,0,0,0,0,0
120,0,0,0,7.84,0,0,0,1.96,0,0,1.96,0,7.84,0,0,1.96,1.96,1.96,0,0,0,0,1.96
