stage,endoderm,epidermis,erythrocytes,eye,immune,mesenchyme,neural,periderm,presomitic_mesoderm,somites,spinal_cord,vasculature
  7-9,2.63,0,0,0,0,0,5.26,0,0,0,0,0
 10-12,0,0,0,0,0,0,9.44,0,0,0,0,0
 14-21,0,0,1,0,0,0,0,0,1,1,0,0
 36-46,0,0,0,1.61,0,0,1.61,0,0,0,0.81,0
 48-58,0,0,0,0,0,0,0,0,0,0,0.57,0.57
 60-70,0,0,0,2.94,1.96,1.96,0.98,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,0,0,0,0,0,0
 84-94,0,0,0,0,1.06,0,0,1.06,0,0,0,0
 96-106,0,0,0,0,3.28,1.09,2.19,2.19,0,0,0,0
108-118,0,0,0,0,1.53,0,0,0,0,0,0,0
120,0,1.96,0,0,3.92,0,0,0,0,0,0,0
