stage,endoderm,epidermis,eye,fin_mesenchyme,glial,gut,heart,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow_muscle,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,1,14,0,0,0,0,1,0,0,0,0
 24-34,0,0.82,0,0,0,0,0.82,0,0,0.82,0,1.64,0.82,0,0,0,0.82,0.82,0,1.64,0,0,0
 36-46,0,0,0.81,0,0,0,1.61,0,0.81,1.61,0.81,0,6.45,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0,0,1.15,0,0,5.74,0.57,0,0,0,0,0,0.57,0,0,0
 60-70,0,0,2.94,0,0,0,0,0,0,2.94,0,0,1.96,0,0,0,0,0,0,0.98,0,0,0
 72-82,0,0,3.93,0,1.96,0.98,0,2.94,0,3.93,0.98,0,7.85,0,0,0.98,0,0.98,0,0,0.98,0,0.98
 84-94,0,0,2.12,0,0,0,0,3.19,0,2.12,0,0,1.06,0,0,0,1.06,4.25,0,1.06,0,1.06,1.06
 96-106,0,0,2.19,0,2.19,3.28,0,16.39,0,1.09,0,0,4.37,0,1.09,0,0,3.28,0,0,0,0,0
108-118,0,0,2.3,0.77,0,0,0,24.51,0,4.6,0,0,6.89,0,0,0,0,0,0,0,0,0,0
120,0,0,1.96,0,1.96,0,0,27.44,0,1.96,0,0,3.92,0,0,0,0,1.96,0,0,0,0,0
