stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,1,0,15,2,0,5,0,0,7,0,2,0,0,0,0,0,1,2,7,0,0,1,65,2,2,1,3,0,0,13,1,2,11,40,0,0,1,0,2
 24-34,0,1.64,3.28,0,0,25.45,0.82,0,9.85,0,0,0,0.82,0,0,0,2.46,16.42,9.03,0,0.82,6.57,70.59,1.64,4.93,1.64,0,0,5.75,0.82,0.82,0,3.28,24.63,0,0,2.46,0,8.21
 36-46,0,0,0,0,0,22.56,0,0.81,4.03,0,0,0.81,0.81,0.81,3.22,0.81,0.81,24.98,4.83,0,0.81,2.42,59.62,0.81,0.81,0,0,0,1.61,0,0,0,0,13.7,0,0,3.22,0,5.64
 48-58,0,0,2.87,0,0,33.28,1.15,0,12.62,0,0.57,0.57,0,0,5.16,0,0,36.72,16.07,0,1.72,3.44,53.94,0,0.57,0.57,0,0,3.44,0,0,0,0,16.07,0,0.57,1.72,0,13.2
 60-70,0,0,7.85,0,0,73.61,0.98,0.98,17.67,1.96,0,0.98,1.96,0,12.76,1.96,0,11.78,29.45,0.98,0.98,1.96,66.74,0,3.93,0.98,0,0,7.85,0,0,0,0,10.8,0,0,2.94,0,4.91
 72-82,1.96,0,1.96,0,0,52.03,0,0,12.76,1.96,0,0,3.93,0.98,10.8,0,0,13.74,23.56,0,0,2.94,47.12,0.98,5.89,0.98,0,0,8.83,0,1.96,0,0,0.98,0,0,6.87,2.94,10.8
 84-94,1.06,0,10.62,0,0,56.29,1.06,1.06,9.56,9.56,2.12,0,4.25,1.06,21.24,1.06,1.06,31.86,22.3,2.12,2.12,2.12,39.3,0,1.06,3.19,0,0,47.79,0,5.31,1.06,0,2.12,2.12,1.06,6.37,3.19,8.5
 96-106,0,0,6.56,0,0,22.95,1.09,1.09,7.65,7.65,0,1.09,2.19,2.19,7.65,1.09,0,21.86,13.11,2.19,2.19,1.09,19.67,1.09,7.65,1.09,0,1.09,21.86,0,4.37,0,0,1.09,0,0,2.19,1.09,6.56
108-118,0,0,10.72,0,0.77,23.74,5.36,0.77,6.13,13.79,0,0,3.06,1.53,19.92,0,2.3,20.68,19.15,0,0,0.77,25.28,0.77,0,3.06,0,0,27.57,0,6.13,0,0,0.77,0,0,2.3,0,7.66
120,0,0,9.8,1.96,0,13.72,0,0,0,5.88,0,0,5.88,0,11.76,0,0,1.96,5.88,0,0,3.92,19.6,0,3.92,1.96,0,0,11.76,0,3.92,0,0,1.96,0,0,1.96,0,3.92
