stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,65.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,2.63,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,35,1,0,0,0,0,0,0,0,0,0,0,0,0,85,0,54,25,0,0,0,0,0,0,1,3,0,2,12,5,0,0,0
 24-34,0,0,57.46,0.82,8.21,0.82,0,0,2.46,0,0.82,0,0,0,0,0,252,0,76.34,38.58,0,0,0,0,0,0.82,0,0,0,0,1.64,12.31,0,4.1,0
 36-46,0,0,49.15,0,12.89,0.81,0.81,1.61,0.81,0,0,0,0,0,0.81,0,251.37,0.81,31.42,41.89,1.61,0.81,0,0,0,2.42,0,0,0.81,0.81,0,15.31,0,2.42,0
 48-58,0,0,43.61,0,11.48,1.15,2.3,2.87,0.57,0,0,0,0,0.57,0.57,0,173.29,0,15.49,46.48,0.57,0,0,0,0,0.57,0,0,0,0.57,0,14.35,1.72,4.02,0
 60-70,0,0,33.37,0,2.94,0,2.94,0.98,0,0,0,0.98,0,0,0,0,70.67,0,6.87,30.43,0,0,0,0,0.98,0.98,0,0,0.98,1.96,0,3.93,3.93,2.94,0
 72-82,0,0,22.58,0,1.96,0,2.94,6.87,2.94,0,0,0,0,0.98,0,0.98,75.59,0,8.83,59.88,0,0,0.98,0,1.96,0,0,0,0,0,0,5.89,2.94,9.82,1.96
 84-94,0,0,30.8,0,8.5,0,0,1.06,1.06,0,0,2.12,0,0,0,0,31.86,1.06,0,27.61,0,0,0,0,1.06,1.06,0,0,0,4.25,0,0,1.06,8.5,2.12
 96-106,0,0,19.67,0,6.56,0,0,1.09,0,1.09,0,1.09,0,0,0,0,28.41,2.19,3.28,20.76,0,0,0,0,2.19,0,0,0,0,3.28,0,3.28,2.19,8.74,3.28
108-118,0,0,11.49,0,4.6,0,0.77,0.77,3.06,0,0,0.77,4.6,0,0,0,14.55,1.53,3.83,31.4,0,0.77,0.77,0,5.36,0,0,0,0,3.83,0,0,0.77,3.83,3.83
120,0,0,13.72,0,3.92,0,0,1.96,1.96,0,0,1.96,0,0,0,0,11.76,1.96,3.92,33.32,0,0,0,0,0,0,0,0,0,1.96,0,0,3.92,9.8,0
