stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,105.42,1844.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,61.3,1035.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.65,0,0,0,12.26,0,30.65,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,13.14,0,13.14,0,0,0,47.32,0,0,0,0,13.14,0,0,0,0,0,0,0,0,0,0,0,362.76,7.89,0,0,144.58,0,0,2.63,0,0,0,0,0,0,0,0,0
 10-12,0,28.32,0,31.47,0,6.29,0,40.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,597.92,15.73,0,0,176.23,0,0,3.15,3.15,25.18,0,9.44,0,0,0,0,0
 14-21,0,0,0,10,37,9,0,31,0,0,13,1,0,0,0,2,0,0,0,0,31,0,0,21,457,5,0,5,6,0,18,0,22,0,26,123,0,0,5,0,0
 24-34,0,0,0,1.64,16.42,1.64,0,97.68,0.82,0,18.88,0,0,0.82,0.82,1.64,0,0.82,0.82,0,40.22,0,0,17.24,572.14,0.82,4.93,5.75,0,0.82,32.01,0,0,2.46,2.46,110.82,0,0,9.85,0,0.82
 36-46,0,0,0,0,6.45,2.42,0,113.6,0,1.61,18.53,1.61,0,0,2.42,0,1.61,0,0,0,39.48,0.81,0.81,12.89,295.68,0,1.61,4.03,0,0,19.34,0,0,0,0,57.2,0,0,4.03,0,0.81
 48-58,0.57,0,0,0,6.89,0.57,0,135.42,0.57,2.3,24.67,1.15,0,0,1.15,0.57,0.57,1.15,1.72,1.15,58.53,0.57,2.3,8.61,139.43,0,1.72,2.3,0,0.57,2.87,0.57,0,0.57,0,20.66,0,0,8.03,0,1.72
 60-70,0,0,0,0,2.94,0.98,0,106,2.94,1.96,30.43,0.98,0,0,1.96,0,1.96,0,0.98,0,59.87,0,3.93,5.89,112.88,0,1.96,0.98,0,0.98,6.87,0,0,0.98,0,8.83,0,0.98,4.91,0,0
 72-82,0,0,0.98,0,8.83,2.94,0,55.95,0,4.91,30.43,2.94,0,0.98,0,0.98,0,0,1.96,0,82.46,0.98,3.93,14.72,127.62,0,3.93,2.94,0,0,11.78,0,0,0,0,8.83,0,0,8.83,1.96,0.98
 84-94,0,0,0,0,11.68,2.12,0,56.29,0,2.12,18.05,6.37,0,1.06,5.31,1.06,0,2.12,2.12,0,50.98,0,2.12,14.87,76.47,0,4.25,4.25,0,2.12,33.99,0,0,1.06,0,4.25,1.06,2.12,10.62,1.06,0
 96-106,0,0,0,0,20.76,3.28,0,33.88,2.19,2.19,15.3,6.56,0,6.56,6.56,0,0,1.09,0,1.09,51.36,1.09,2.19,13.11,57.92,1.09,8.74,9.84,0,0,39.34,0,0,1.09,0,3.28,1.09,1.09,12.02,0,0
108-118,0,0,0.77,1.53,27.57,0,0.77,41.36,1.53,0.77,21.45,5.36,0,0.77,5.36,0,0.77,0,2.3,0.77,37.53,0.77,1.53,2.3,75.83,0,2.3,2.3,0,3.06,14.55,0,0,0.77,0,3.83,0.77,0,4.6,0,2.3
120,0,0,1.96,0,23.52,3.92,0,31.36,0,0,19.6,7.84,0,0,9.8,0,5.88,1.96,1.96,0,31.36,1.96,0,7.84,74.47,0,3.92,0,0,3.92,9.8,0,0,1.96,0,1.96,0,0,13.72,1.96,0
