stage,endoderm,epidermis,erythrocytes,gut,heart,liver,mesenchyme,muscle,neural,paraxial_mesoderm,periderm,pronephros,spinal_cord
  7-9,0,0,0,0,0,0,0,0,5.26,5.26,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,3.15,3.15,0
 14-21,0,0,0,1,4,0,8,2,4,1,0,0,1
 24-34,0.82,0.82,0,0,6.57,0.82,6.57,3.28,1.64,0,0,0,0
 36-46,0,0,0,0,3.22,0,2.42,0,0,0,0,0,0
 48-58,0,0,1.15,0,0,0,1.15,0,0.57,0,0,0,0
 60-70,0,0,0,0,0.98,0,0,0,0.98,0,0,0,0
 72-82,0,0,0.98,0,0.98,0,0,0,4.91,0,0,0,0
 84-94,0,0,0,0,4.25,0,0,0,0,0,0,0,0
 96-106,0,0,2.19,0,2.19,0,0,0,0,0,0,0,0
108-118,0,0,0,0,1.53,0,0,0,2.3,0,0,0,0
