stage,endoderm,epidermis,eye,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,iridophores,mesenchyme,mucous,mural_cell,neural,olfactory,periderm,somites,spinal_cord,vasculature,xanthophores
 14-21,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,0,5.75,0,0,0,0.82,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0.81,0,0,2.42,0,0.81,0,1.61,0,0
 48-58,0,0.57,0,0,0,0,0,0,0,0,0,0,0,4.02,0.57,0,0,0.57,0,0
 60-70,0,0,4.91,0,0.98,0.98,0,0,0,0,0.98,0,0,4.91,0.98,0,0,0,0,0
 72-82,0,0.98,0.98,0,0,0.98,0,0,0,0,1.96,0,0.98,2.94,0,0,0,0.98,0,0.98
 84-94,0,0,2.12,0,0,2.12,0,0,0,0,4.25,0,0,4.25,0,2.12,0,0,0,0
 96-106,0,1.09,0,0,0,1.09,0,2.19,0,0,2.19,0,0,0,0,2.19,0,0,0,0
108-118,0,1.53,3.06,0.77,0,1.53,0,0,0.77,0.77,1.53,0,0,5.36,0,2.3,0,0,0.77,0
120,0,1.96,3.92,0,0,0,1.96,1.96,0,1.96,0,1.96,0,1.96,0,0,0,0,0,0
