stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,liver,mesenchyme,mucous,muscle,neural,notochord,paraxial_mesoderm,periderm,somites,spinal_cord
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,3.15,0,9.44,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
 24-34,0,0,0,0.82,0,0,0,0,0,0,14.78,0,0,0,0,9.85
 36-46,0,0,0,0,0,0,0,0,0,0,24.98,0,0,0,0,12.89
 48-58,0,0,0,3.44,0,1.15,0,0,0,0,33.85,0,0,0,0,10.33
 60-70,0,0,0,11.78,0,2.94,0,0,0,0.98,122.69,0,0,0.98,0,7.85
 72-82,0,0,0,21.6,0,3.93,0,1.96,0,0,173.75,0,0,0,0,9.82
 84-94,0,0,0,13.81,1.06,3.19,0,2.12,0,0,82.84,0,0,1.06,0,8.5
 96-106,0,0,2.19,5.46,0,5.46,0,1.09,0,0,71.04,0,0,0,0,1.09
108-118,0,1.53,0,6.13,0,3.83,0.77,1.53,0.77,0,82.72,0,0,0.77,0,2.3
120,0,1.96,0,7.84,0,7.84,0,5.88,0,0,145.02,1.96,0,0,0,1.96
