stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_mesenchyme,glial,immune,mesenchyme,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature
  5-6,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,15.77,0,0,7.89,2.63,0,0
 10-12,0,15.73,0,0,0,0,0,0,0,81.82,3.15,0,15.73,3.15,0,0
 24-34,0,0,0,0,0,0,0,0,0,1.64,0,0,0,0.82,0.82,0.82
 36-46,0,0,0,0,0.81,0,0,0,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.57,0.57,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,1.96,0,0,0,0,0.98,0,0,0,1.96,0,0
 84-94,0,0,0,0,1.06,0,0,0,0,0,0,0,0,3.19,0,0
 96-106,0,0,0,1.09,0,0,0,0,0,0,0,1.09,0,3.28,0,0
108-118,0,0,0.77,0,0,0,0,0,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,1.96,0,0,0,0,0,0,3.92,0,0
