stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,2,25,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,0,0,1,38,0,0,36,0,0,0,0,0,44,0,0,0,0,0
 24-34,0,0,0.82,0,7.39,0,2.46,0,0,0.82,0.82,0,0,0,0,0,0,26.27,0,0,10.67,0,0,2.46,284.84,0.82,2.46,52.53,0,0,0,0.82,3.28,112.46,0,0,3.28,0,0
 36-46,0,0,0,0,5.64,0.81,5.64,0,0,0,8.86,0,0,0,0,0,0,17.72,0,0,14.5,0.81,0,0.81,653.4,0,4.03,18.53,0,2.42,0,0,2.42,196.58,0,0,0,0,0
 48-58,0,0,0,0,19.51,0,58.53,0,0.57,0.57,13.2,0,0,0,0,0,0,18.94,0.57,0,32.13,0,0,6.31,673.65,0,6.31,13.2,0,2.3,0,0,0.57,208.29,0,0,2.87,0,0
 60-70,0,0,0,0,30.43,0.98,473.09,0.98,0.98,0.98,18.65,0.98,0,0.98,0,0,0,12.76,0,0,63.8,0,1.96,6.87,859.81,0.98,2.94,8.83,0,0.98,0,0,3.93,162.93,1.96,0,0,0,0.98
 72-82,0,0,1.96,0,53.01,0.98,862.88,0,0,3.93,64.79,0.98,0.98,0,0.98,0.98,0,16.69,0.98,0,160.99,0,3.93,6.87,825.58,0,5.89,8.83,1.96,2.94,0,0,2.94,107.98,7.85,1.96,0.98,2.94,0
 84-94,0,0,1.06,0,127.44,1.06,523.58,1.06,8.5,3.19,65.85,4.25,0,0,2.12,1.06,1.06,10.62,0,1.06,105.14,0,6.37,6.37,436.5,0,6.37,7.43,0,3.19,0,0,2.12,49.92,38.23,4.25,3.19,4.25,0
 96-106,0,0,1.09,0,127.86,2.19,449.16,1.09,5.46,2.19,51.36,14.21,0,6.56,2.19,1.09,0,6.56,0,1.09,122.4,2.19,2.19,4.37,310.37,0,8.74,10.93,1.09,2.19,1.09,0,3.28,20.76,49.18,1.09,1.09,2.19,0
108-118,0.77,0,0,0,134.04,1.53,320.94,0.77,6.89,0.77,52.85,35.23,0,3.83,1.53,0,0.77,11.49,0,0,106.47,1.53,5.36,9.96,334.73,0,1.53,4.6,3.06,0.77,0,0,1.53,10.72,75.83,1.53,6.13,0.77,0.77
120,0,0,7.84,0,111.71,0,180.3,0,9.8,0,48.99,9.8,0,5.88,0,5.88,0,1.96,0,0,78.39,1.96,5.88,9.8,360.6,0,5.88,3.92,7.84,3.92,1.96,0,0,5.88,25.48,0,3.92,3.92,0
