stage,blastomeres,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,heart,immune,ionocyte,lateral_line,mesenchyme,mural_cell,muscle,neural,paraxial_mesoderm,pericytes,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,3.15,0,0,0,0,0,0,0,0,0
 24-34,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0.82,0,0,0,0,0
 36-46,0,0.81,0,0,0,0,0,0,0,0,0,0.81,0.81,0,0,0.81,0,0,1.61,0,0.81,0,0,0,0,0
 48-58,0,0.57,0,0.57,0,0,0,0,0,0,0,0,2.3,0,0,1.15,0,0,0,0,0,0,0,0,0,0
 60-70,0,2.94,0,0,0,0,0,0,0,0,0,0,37.3,0,1.96,1.96,0,0,0,0,0,0,0,0,0,0.98
 72-82,0,2.94,0,2.94,0,0,0,1.96,1.96,0,0,0,83.44,0.98,0,1.96,0,0,0,0,0,0,0,0,0,0
 84-94,0,3.19,0,4.25,0,2.12,1.06,0,0,0,1.06,0,54.16,2.12,0,1.06,0,0,0,1.06,0,0,1.06,0,0,0
 96-106,0,10.93,0,10.93,2.19,0,0,1.09,6.56,0,0,0,116.93,6.56,1.09,12.02,0,1.09,0,0,0,1.09,0,2.19,1.09,0
108-118,0,4.6,0.77,7.66,0,0,0,0,1.53,0.77,0.77,0.77,182.3,6.13,0.77,6.89,0,0.77,0,0,0,0,0,0,0,0
120,0,7.84,0,5.88,0,0,1.96,0,1.96,0,0,0,146.98,5.88,1.96,9.8,0,1.96,0,0,0,0,1.96,0,0,0
