stage,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,1.64,0,0.82,0,0,0,0,0
 36-46,0,0,0,1.61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.22,0,0,0,0.81,0,0,0,0,0,0,0
 48-58,0,0,0,2.87,1.72,0,0.57,0.57,0,0,0,0,0,0,0.57,0,0,0.57,4.02,0,0,0,108.45,0,0.57,0,0,0,0,0.57
 60-70,0.98,0,0,5.89,3.93,0,2.94,0,0,2.94,0,0,0,0,2.94,0,0.98,0,6.87,0,0,0,332.74,0,2.94,0,0,0,0,0
 72-82,12.76,0.98,0,8.83,14.72,0,1.96,0,0,6.87,0,0,0,0,3.93,0.98,0,0.98,21.6,0.98,0.98,0.98,711.7,0,0.98,0.98,0.98,0,0,0.98
 84-94,13.81,1.06,0,3.19,41.42,0,1.06,0,0,12.74,0,0,0,0,3.19,9.56,0,0,3.19,0,0,0,1666.34,0,0,0,0,0,0,0
 96-106,45.9,2.19,0,26.23,96.17,0,3.28,2.19,3.28,34.97,1.09,0,1.09,1.09,10.93,25.14,0,1.09,43.71,0,0,2.19,1950.73,0,0,1.09,1.09,3.28,0,1.09
108-118,44.43,0.77,0.77,6.13,103.41,1.53,3.83,0.77,0,33.7,0,0,0.77,0,6.13,29.11,0,0.77,27.57,0,0,0,1806.91,0.77,0.77,0.77,0,0,1.53,1.53
120,39.2,3.92,0,5.88,66.63,0,1.96,1.96,0,13.72,0,1.96,0,0,13.72,15.68,1.96,1.96,19.6,0,0,0,740.8,0,0,0,0,0,0,0
