stage,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
 14-21,2,7,65,4,17,0,0,11,5,0,0,0,3,0,0,0,1,16,0,0,6,702,9,0,73,10,0,1,2,7,1,1,9,244,0,0,3,0,0
 24-34,4.1,2.46,13.95,0,42.68,4.1,0,20.52,0,0,0,0.82,2.46,0,2.46,0.82,1.64,50.89,0.82,0,12.31,1280.54,1.64,4.1,57.46,0,0,2.46,0,0,0,0,2.46,270.88,0,0,10.67,0,0
 36-46,0.81,0,5.64,0,47.53,1.61,0.81,41.09,0,0,1.61,0,0.81,0,1.61,0,0,44.31,0,1.61,9.67,861.26,2.42,0,41.89,0,0,1.61,0,0.81,0,0,0,202.22,0,0,4.83,0,0
 48-58,0,0,2.3,0,40.17,1.15,1.15,68.28,0,0,2.3,0.57,0,0,2.3,0.57,1.15,36.15,0,1.15,4.59,386.74,0,0.57,43.61,0,0,1.72,0,0,0,0,0,89.51,0,0,4.59,0,0.57
 60-70,0,0,0.98,0,36.32,0.98,0.98,60.85,1.96,0.98,1.96,0.98,0,0,0,0,0,36.32,0,0.98,4.91,267.96,0,0,44.17,0,0.98,0.98,0,0,0,0,0,39.26,0,2.94,2.94,0,1.96
 72-82,0.98,0,0.98,1.96,37.3,0,0,53.01,3.93,0,0,0.98,3.93,0,1.96,0,0,61.84,0.98,0.98,1.96,169.83,0,1.96,60.86,0,0,0.98,0,0,0,0,0,7.85,0.98,0.98,1.96,0.98,0
 84-94,1.06,0,4.25,4.25,24.43,1.06,1.06,35.05,1.06,0,1.06,2.12,1.06,0,0,1.06,1.06,30.8,0,1.06,3.19,86.03,0,0,80.71,0,1.06,1.06,0,0,0,0,0,8.5,2.12,2.12,4.25,0,1.06
 96-106,1.09,0,6.56,4.37,28.41,0,1.09,40.44,13.11,0,2.19,0,1.09,1.09,2.19,0,1.09,30.6,2.19,3.28,3.28,75.41,1.09,3.28,87.43,0,0,3.28,0,0,0,0,0,5.46,2.19,2.19,4.37,2.19,0
108-118,0,0,6.89,3.06,16.85,2.3,2.3,39.06,13.02,0,2.3,3.06,2.3,0,1.53,0,0,24.51,0,0,1.53,90.38,1.53,2.3,94.98,0,0.77,1.53,0,0,0.77,0,0,2.3,0.77,1.53,2.3,0.77,0
120,1.96,0,9.8,1.96,7.84,0,0,13.72,17.64,0,1.96,1.96,0,0,1.96,0,1.96,21.56,0,3.92,0,76.43,3.92,0,78.39,0,0,0,0,0,0,0,0,0,0,0,1.96,0,0
