stage,blastomeres,endoderm,epidermis,eye,fast_muscle,fin_mesenchyme,glial,gut,ionocyte,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,pgc,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,118.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,30.65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.14,0,0,0,5.26,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,40.91,0,0,0,12.59,0,0,0,0,0,0,0,0,0
 14-21,0,1,2,0,0,0,7,1,0,0,0,0,3,0,0,13,4,0,1,0,0,0,5,5,6,22,0,0,0
 24-34,0,0,0,3.28,0,0,9.85,0.82,0,0,0,0,4.93,0,0.82,17.24,0,0.82,0,0,0,0,0,8.21,0.82,16.42,0,0,0.82
 36-46,0,0,0,3.22,0,0,4.83,0,0,0,0,0,1.61,0,0.81,9.67,0,0.81,0.81,0,0,0.81,0,5.64,0,13.7,0,0,0
 48-58,0,0,0,2.87,0,0,4.59,0,0,0,0,0,0,0,0,2.3,0,0.57,0.57,0,0,0,0,0,0,4.59,0.57,0,0
 60-70,0,0,0,3.93,0,0,4.91,0,0,0,0,0,2.94,0,0,2.94,0,1.96,0,0,0,0,0,1.96,0,4.91,0,0,0
 72-82,0,0,0,3.93,0,0,23.56,0,0,0,0,0,9.82,0,0,7.85,0,1.96,0,0,0,0,0,0.98,0,5.89,0,0.98,0
 84-94,0,1.06,0,3.19,0,0,8.5,0,0,0,0,0,7.43,1.06,0,3.19,0,2.12,0,0,0,0,0,3.19,0,2.12,0,0,0
 96-106,0,0,1.09,6.56,1.09,0,13.11,0,0,1.09,1.09,1.09,9.84,0,1.09,2.19,0,2.19,1.09,0,0,0,0,1.09,0,3.28,0,1.09,0
108-118,0,0,0,4.6,0,0.77,13.02,0,0.77,0,0.77,0.77,8.43,0.77,0.77,9.19,0,3.06,0.77,0,0.77,0,0,1.53,0,5.36,0.77,0,0.77
120,0,0,0,5.88,0,0,3.92,0,0,0,0,0,3.92,0,0,7.84,1.96,0,1.96,0,0,1.96,0,3.92,0,1.96,0,0,0
