stage,axial,endocrine_pancreas,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44,62.94,0,0,12.59,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,4,2,449,0,0,0,0,0,0,0,2,3,0,0,0,0
 24-34,0,0,0.82,0,0,3.28,0,0.82,5.75,0,0,0,0,0,0,0,0,0,0,18.06,0,0,13.13,21.34,205.21,0,0,0,0,1.64,0,0,0.82,2.46,0,1.64,0,0
 36-46,0,0,0,0,0,3.22,0,0.81,11.28,0,0,0,1.61,0,0,0,0,0,0,132.94,0,0,12.09,10.47,188.53,0,0,0,0,0,0,0,0,3.22,0,1.61,0,0
 48-58,0,0,0.57,0,0,11.48,0,4.59,32.13,1.72,0,0,0,0,0,0,0.57,0,0,274.85,0,0,28.69,23.53,154.93,0,0,0,0,0.57,0,0,0,4.02,0,0,0,0
 60-70,1.96,0,0,0,0,8.83,0,2.94,70.67,1.96,0,0,0,0,0,0.98,0,0.98,0,565.36,0,1.96,34.35,27.48,120.73,0.98,0,0,1.96,0.98,0,0,0,2.94,0,0.98,0.98,0.98
 72-82,0,0,8.83,0.98,0,93.26,0.98,9.82,145.29,10.8,3.93,0.98,3.93,0,2.94,0,0.98,0,0,1277.14,0.98,3.93,68.72,61.84,100.13,0,1.96,0,5.89,3.93,0,0,0,3.93,5.89,1.96,3.93,1.96
 84-94,1.06,0,21.24,2.12,0,108.33,0,13.81,81.78,7.43,1.06,0,2.12,2.12,0,2.12,1.06,1.06,0,1077.97,1.06,9.56,61.6,24.43,161.43,0,0,0,0,5.31,0,1.06,0,3.19,6.37,1.06,4.25,0
 96-106,1.09,2.19,34.97,7.65,1.09,116.93,2.19,26.23,99.45,22.95,1.09,0,5.46,5.46,0,0,2.19,4.37,0,1239.29,2.19,5.46,56.83,85.24,133.33,1.09,4.37,0,9.84,10.93,1.09,0,0,4.37,7.65,4.37,8.74,2.19
108-118,3.83,0,9.96,7.66,0,48.26,0.77,15.32,79.66,8.43,2.3,0,2.3,2.3,1.53,0,0,1.53,0,1233.2,1.53,3.83,58.98,83.49,163.15,2.3,1.53,0,10.72,6.89,0,0,0,1.53,22.98,0.77,6.89,0.77
120,5.88,0,3.92,3.92,0,54.87,0,9.8,84.27,3.92,1.96,0,1.96,3.92,0,0,1.96,1.96,1.96,1038.69,1.96,1.96,47.03,64.67,274.37,0,0,0,7.84,0,0,0,0,1.96,13.72,5.88,3.92,0
