stage,axial,blastomeres,endocrine_pancreas,epidermis,eye,glial,gut,immune,iridophores,mesenchyme,neural,notochord,paraxial_mesoderm,somites,spinal_cord,taste,vascular_smooth_muscle,visceral_smooth_muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,0,3.15,3.15,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,20,0,0,4,0,0,0,0
 24-34,0,0,0.82,0,0,1.64,0,0,0,0,9.03,0,0,0,3.28,0,0,0
 36-46,0,0,0.81,0,0.81,0.81,0,0,0,0.81,17.72,0,0,0,5.64,0,0,0
 48-58,0,0,0,0,1.15,2.87,0,0.57,0,2.3,22.38,0,0,0,1.15,0,0,0
 60-70,0,0,0.98,0,3.93,5.89,0,0,0,7.85,36.32,0,0,0,0.98,0,0,0
 72-82,0,0,0.98,0,14.72,7.85,0,0,0,13.74,64.79,0,0,0,4.91,0,0,0
 84-94,0,0,0,1.06,9.56,6.37,4.25,0,0,18.05,21.24,0,0,0,0,0,0,1.06
 96-106,0,0,0,0,8.74,6.56,1.09,0,1.09,7.65,29.51,0,0,0,1.09,0,0,0
108-118,0,0,3.06,0,9.19,3.83,0,0,0,2.3,30.64,0,0,0,0.77,0.77,0,0
120,0,0,1.96,0,21.56,0,0,1.96,0,5.88,35.28,0,0,0,0,0,1.96,0
