stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,lateral_line,liver,melanocytes,mesenchyme,mucous,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vasculature,xanthophores
  3-4,0,158.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,171.63,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.26,2.63,13.14,0,0,0,5.26,0,0,0,0,0,10.51,0,0,0,0,0,0,0,0,52.57,0,0,81.49,0,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,0,0,0,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,40.91,0,0,28.32,0,0,0,3.15,0,0,0,0,0
 14-21,0,0,0,2,0,0,1,0,0,0,0,0,0,0,4,0,0,0,1,0,0,6,0,0,1,0,0,2,0,0,1,2,0,0
 24-34,0,0,0,1.64,0,0,1.64,0,0,0,0.82,0,0,0,13.13,2.46,0,0,0.82,0,0,17.24,0,7.39,0,0,0,0,0,0.82,0,0,0,0.82
 36-46,0,0,0,0.81,0,0,0.81,0,0,0,0,0,0,0,3.22,1.61,0,0.81,0.81,0,0.81,12.89,0.81,4.83,0,0,0,0,0,0,0,1.61,0,0.81
 48-58,0,0,0,0,0,0,5.74,0,0,0,0,0,0,0,1.72,2.3,0,0,1.15,1.15,1.15,9.75,0.57,9.18,0,0,0,0,0.57,0,0,2.3,0.57,0
 60-70,0,0,0,2.94,0.98,0,4.91,0.98,0,0,3.93,0,0,0,3.93,8.83,0,0.98,0.98,0,0,9.82,0,17.67,0,0,0.98,0,0,0,0,1.96,0,0
 72-82,0,0,0,0,0.98,0.98,8.83,0,0.98,0,1.96,0,0,0,0,21.6,0,0,3.93,0,0,9.82,0,43.19,0,0,0,0,0,0,0,2.94,2.94,0.98
 84-94,0,0,0,0,1.06,0,8.5,1.06,0,2.12,1.06,0,0,1.06,2.12,26.55,0,0,2.12,1.06,0,12.74,0,67.97,0,0,0,0,0,0,0,3.19,3.19,0
 96-106,0,0,0,0,0,1.09,2.19,0,0,0,0,1.09,0,1.09,2.19,40.44,1.09,0,3.28,2.19,0,4.37,1.09,78.68,0,0,0,0,0,1.09,0,1.09,6.56,0
108-118,0,0,0,0,0,10.72,3.83,0,0,0.77,1.53,1.53,0,1.53,2.3,29.11,0,2.3,4.6,0,2.3,7.66,0.77,55.92,0,0.77,0.77,0,0,0,0,0,5.36,0
120,0,0,0,0,0,3.92,1.96,1.96,0,0,1.96,1.96,0,1.96,1.96,25.48,0,0,5.88,0,1.96,15.68,1.96,70.55,0,0,0,0,0,1.96,0,0,1.96,0
