stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,4,2,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,34,0,0,0,1,0,0,0,0,0
 24-34,0,2.46,18.06,0.82,0,0,1.64,0,0,0,0.82,20.52,0,0,0,0.82,0,0,2.46,0,0,0.82,0,0.82,11.49,0,0,0.82,0,13.13,0,2.46,0,3.28,0,0,0,0,0
 36-46,0,2.42,5.64,0,0,0,2.42,0,0,0,0.81,40.28,0,0,0,0,0,0,13.7,0,0.81,0,0,0.81,15.31,0,0,0,0,1.61,0,0,0,3.22,0,0,1.61,0,0
 48-58,0,1.15,0.57,0,0,0,9.18,0,0.57,0,5.74,67.14,0,0,0,0,0,0,4.02,0,2.3,0,0,1.15,29.26,0,0,0,0,0,0,0.57,0,5.74,0,0,0,0,0
 60-70,0,10.8,0,1.96,0,0,19.63,0,1.96,0,6.87,137.41,0,0,0,0,0,0,12.76,0,4.91,0,0,0,32.39,0,0.98,0,0,1.96,0,0,0.98,4.91,0,0.98,0.98,0,0.98
 72-82,0,45.16,0,5.89,3.93,0,45.16,0,0.98,0.98,9.82,293.52,0,0,0.98,0,1.96,2.94,8.83,0.98,34.36,0.98,0,3.93,159.03,0,2.94,0.98,1.96,8.83,0,0,0,3.93,1.96,0.98,7.85,0,2.94
 84-94,0,49.92,4.25,9.56,6.37,0,29.74,1.06,1.06,0,8.5,528.89,0,1.06,3.19,1.06,2.12,2.12,27.61,0,13.81,1.06,0,3.19,72.22,3.19,0,2.12,1.06,19.12,0,1.06,1.06,6.37,1.06,1.06,1.06,1.06,1.06
 96-106,0,54.64,14.21,9.84,9.84,1.09,59.01,2.19,3.28,1.09,22.95,680.84,0,2.19,9.84,0,1.09,2.19,48.09,2.19,39.34,1.09,1.09,6.56,225.13,2.19,4.37,1.09,0,30.6,1.09,0,0,2.19,4.37,1.09,9.84,2.19,5.46
108-118,0,35.23,19.15,16.85,6.13,3.06,32.94,1.53,3.83,1.53,13.79,736.09,0,0.77,3.83,0,0,0,59.75,0,38.3,0,3.83,4.6,173.11,1.53,0,5.36,0.77,14.55,0,1.53,0.77,5.36,0,0.77,3.06,0.77,0.77
120,0,39.2,3.92,13.72,5.88,0,27.44,0,0,1.96,11.76,603.61,0,0,1.96,0,0,0,21.56,0,19.6,0,0,1.96,121.51,0,0,0,0,3.92,0,1.96,0,0,0,0,0,0,1.96
