stage,axial,blastomeres,endoderm,eye,fin_epithelia,glial,gut,ionocyte,mesenchyme,muscle,neural,notochord,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature
  3-4,13.18,131.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,122.59,0,0,0,0,0,0,0,0,6.13,0,0,0,12.26,0,0
  7-9,5.26,0,2.63,2.63,0,0,0,0,0,0,63.09,2.63,0,26.29,0,0,0
 10-12,0,3.15,0,0,0,0,0,0,0,0,62.94,0,0,12.59,0,0,0
 14-21,0,0,0,2,0,0,0,0,0,0,1,0,1,0,0,0,0
 24-34,0,0,0,0,0,0,0,0.82,0,0,1.64,0,0,0,0,0.82,0
 36-46,0,0,0,0.81,0,0,0,0,0,0,2.42,0,0,0,0,0,0
 48-58,0,0,0,0.57,0,0,0,0,0,0,0,0,0,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,0,0,0,0.98,0,0,0,0.98,0,0
 72-82,0,0,0,0.98,0,0,0.98,0,1.96,0,0.98,0,0,0,0,0,0
 84-94,0,0,0,1.06,0,0,0,0,1.06,1.06,0,0,0,0,0,1.06,0
 96-106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.09
108-118,0,0,0,0,0,0,0,0,0,0,0.77,0,0,0,0,0,0
120,0,0,0,0,1.96,0,0,0,0,0,0,0,0,0,0,0,0
