stage,blastomeres,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,hatching_gland,immune,iridophores,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,spinal_cord,vasculature,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0
 10-12,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.29,0,6.29,0,0,0,0
 14-21,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,2,0,0,0,0,0,0
 24-34,0,0,0,4.93,0,0,0,0,0,0,0,5.75,0.82,0,0,4.1,0,0,0,0,0,9.85
 36-46,0,0,0,1.61,0,0,0,0,0,1.61,0,3.22,0.81,0,0,1.61,0,0,0,0,0,4.03
 48-58,0,0.57,0,4.02,0,0.57,0,0,0,1.15,0,0,0.57,0,0,2.87,0,0,0,0.57,0,1.72
 60-70,0,0,0,4.91,0,0.98,0,0,0.98,5.89,0,0.98,0.98,0,0,2.94,0,0,0,1.96,0,4.91
 72-82,0,0,0,4.91,0.98,0,0,0,0.98,7.85,0,0,0,0,0,0.98,0,0,0.98,0,0,0.98
 84-94,0,0,0,8.5,0,2.12,0,0,0,11.68,0,0,0,0,1.06,2.12,1.06,0,0,0,1.06,5.31
 96-106,0,0,0,1.09,0,0,0,0,1.09,4.37,0,0,1.09,1.09,0,1.09,0,0,0,0,1.09,2.19
108-118,0,0,0.77,3.06,0,0,0,0,1.53,13.02,0,0,1.53,0,0,3.83,0,0,0,0,0,3.06
120,0,0,0,3.92,0,0,1.96,0,0,0,0,0,0,0,1.96,0,0,0,0,0,0,0
