stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,1265.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0
  5-6,42.91,2206.67,0,6.13,0,0,0,0,0,0,0,0,18.39,0,0,0,0,0,0,0,0,0,0,0,24.52,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0
  7-9,26.29,139.32,0,42.06,0,0,1895.3,0,0,0,0,0,65.72,0,0,0,0,0,0,0,0,0,0,0,3674.94,13.14,0,0,141.95,0,2.63,2.63,0,0,0,0,0,0,0
 10-12,0,37.76,0,15.73,0,0,1227.32,0,0,0,0,0,6.29,0,0,0,0,0,0,0,0,0,0,0,1233.61,0,0,0,37.76,0,3.15,0,0,0,0,0,0,0,0
 14-21,0,0,0,1,12,2,22,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,364,0,2,2,1,0,0,0,2,7,0,0,0,0,0
 24-34,0,0,0,0,2.46,0,5.75,0,5.75,0,11.49,0.82,0,0.82,0,0,0,0,0,0,2.46,0,0,1.64,100.97,0.82,1.64,0.82,0,0,0.82,0,0.82,3.28,0,0,1.64,0,0
 36-46,0,0,0,0,0.81,0,15.31,0,0,0,6.45,0,0,0,0,0.81,0,0,0,0,3.22,0,0,2.42,82.18,0.81,0.81,0,0,0,2.42,0,0,22.56,0,0,0,0,0
 48-58,0,0,0,0,1.72,0,22.95,0,0,0.57,5.16,0,0,0,0,0,0.57,0.57,0,0,6.31,0,0,0.57,84.92,0.57,3.44,0.57,0,0,0.57,0,0,18.36,0,0,1.15,0,0
 60-70,0,0,0,0,0.98,0,35.33,0,2.94,0.98,11.78,0,0,0,0,0,0,0,0,0,10.8,0.98,0,0,74.6,0,2.94,0,0,0,0,0,0,9.82,0,0,0,0,0.98
 72-82,0,0,0,0,0,0.98,46.14,0.98,0.98,0,14.72,0,0,0,0,0,0.98,0.98,0,0,22.58,0,0,0.98,81.48,0.98,4.91,0.98,0,0,3.93,0,0,6.87,0,0.98,0.98,0,0
 84-94,0,0,1.06,0,0,0,11.68,1.06,0,0,8.5,2.12,0,0,0,0,1.06,0,0,1.06,12.74,0,1.06,4.25,32.92,2.12,0,0,0,0,1.06,0,0,4.25,1.06,0,1.06,0,1.06
 96-106,0,0,0,0,2.19,0,15.3,0,0,1.09,2.19,3.28,0,0,1.09,1.09,0,0,2.19,0,10.93,0,0,1.09,27.32,0,1.09,3.28,0,0,3.28,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.77,0,9.19,0,0,0,3.06,0.77,0,0,0.77,0,0.77,0.77,1.53,0.77,6.89,0,0,1.53,24.51,0.77,1.53,1.53,0,0.77,0.77,0,0,0,0,0,0.77,0.77,0
120,0,0,0,0,5.88,0,11.76,0,0,0,5.88,5.88,0,0,1.96,0,1.96,0,0,0,1.96,1.96,0,0,43.12,0,1.96,0,0,0,1.96,0,0,1.96,1.96,0,0,0,0
