stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,98.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.26,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,7.89,7.89,0,5.26,0,0,5.26,0,0,0,0,0,5.26,0,0,0,0,0,0,0,0,176.12,2.63,0,0,92,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,3.15,0,15.73,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,122.73,3.15,0,0,62.94,0,3.15,0,9.44,0,0,0,0,0,0,0
 14-21,0,0,1,1,6,2,2,0,0,0,0,0,0,0,0,0,0,0,2,0,5,20,2,0,2,1,0,0,5,0,0,12,9,0,0,0,0
 24-34,0,0,0.82,0,2.46,0,2.46,0,0,0,0.82,0,0,0,0,0,0,0,3.28,0,4.93,59.1,0,1.64,0.82,0,0.82,0,0,0,0,2.46,14.78,0,0,0,0.82
 36-46,0,0,0,0,1.61,0,12.09,0,0.81,0,2.42,0,0,0.81,0,0,0,0,7.25,0.81,0,115.21,0,0.81,0,0,4.03,0,0,0.81,0.81,0,26.59,0,1.61,0,0
 48-58,0,0,0,0,1.15,0,32.13,0,0.57,1.15,4.59,0.57,0,0,0,0,0.57,0.57,12.62,0,1.72,97.55,0,0,1.72,0,0,0,0,0,0,0,14.92,0,0.57,0,1.15
 60-70,0,0,0,0,1.96,0,101.1,0,1.96,0.98,9.82,0,0,0,0,0,0,0,23.56,0,2.94,129.56,0,1.96,0.98,0,1.96,0,0,0,0,0,17.67,0.98,0,0,0
 72-82,0,0,0,0,3.93,0,67.73,0,0.98,0,8.83,0,0,0,0,0,0,0,12.76,0.98,2.94,93.26,0,2.94,0,0,0,0,0,0,0,0,7.85,0.98,4.91,0,0.98
 84-94,0,0,1.06,0,1.06,0,43.54,0,1.06,0,5.31,1.06,0,0,0,1.06,0,1.06,12.74,1.06,1.06,28.68,0,0,0,0,3.19,0,0,0,0,0,6.37,0,0,0,0
 96-106,0,0,0,0,1.09,0,20.76,1.09,0,1.09,1.09,0,0,0,0,0,0,0,7.65,2.19,2.19,25.14,0,1.09,0,0,2.19,0,0,0,0,0,2.19,0,1.09,3.28,0
108-118,0,0,0,0,2.3,0,13.02,0,0,0,3.83,0,0,0,0.77,0,0.77,0,6.13,0,1.53,32.17,0,0.77,0.77,0,0.77,0,0,0,0,0,0.77,0.77,0.77,0.77,0.77
120,0,0,0,0,0,0,13.72,0,1.96,0,5.88,1.96,0,0,0,0,0,0,7.84,1.96,0,41.16,0,0,0,0,1.96,0,0,0,0,0,1.96,0,0,0,0
