stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  5-6,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,2,12,0,0,0,0,0,0,0,5,0,3,0,0
 24-34,0,0,0.82,1.64,0,0,2.46,0,7.39,0,0,0,0,0,0,0,0.82,0,0,0,53.36,0,0.82,0,0,0,0,0,0,9.03,3.28,0,0
 36-46,0,0,0,1.61,0,0,12.09,0.81,4.83,0.81,0.81,0,0,0,0,0,4.03,0,0,1.61,66.06,0,2.42,0,0,0,0,0,0,8.86,1.61,0,0
 48-58,0,0,0,0.57,0,0,64.84,10.33,5.74,0,1.72,0,0,0.57,0.57,0,3.44,0,0,2.87,67.14,0,0,0,0,0,0,0,0,4.02,4.02,0,0
 60-70,0,0,0,1.96,0.98,0,378.87,9.82,0.98,0,5.89,0,0,0,0,0,2.94,0,0.98,1.96,179.62,0,0,0,0.98,0,0,0,0,11.78,3.93,0,0.98
 72-82,0,1.96,0,9.82,0,0,608.63,7.85,4.91,0.98,16.69,1.96,0,0,0.98,0,12.76,0,2.94,5.89,216.95,0,0,1.96,0.98,0,0,0,0,2.94,4.91,0.98,0
 84-94,0,2.12,0,5.31,1.06,0,321.8,5.31,3.19,1.06,13.81,0,0,0,1.06,1.06,6.37,1.06,2.12,3.19,113.64,0,0,1.06,1.06,1.06,0,0,0,2.12,3.19,0,0
 96-106,0,2.19,0,4.37,0,1.09,326.76,2.19,2.19,2.19,14.21,1.09,0,1.09,1.09,0,9.84,0,0,2.19,100.54,0,3.28,1.09,0,3.28,1.09,0,0,0,7.65,2.19,0
108-118,0,0,0,3.83,0,0,219.83,0.77,0.77,0.77,6.89,0,0,0.77,0,0,4.6,0,1.53,0,94.21,0.77,1.53,0.77,0.77,0.77,0,0.77,0,2.3,3.06,0,0
120,0,0,0,7.84,0,0,176.38,1.96,5.88,0,3.92,0,0,0,1.96,0,0,0,0,1.96,86.23,0,3.92,0,1.96,1.96,0,0,0,5.88,3.92,0,0
