stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,26.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.77,0,0,0,5.26,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,3.15,0,0,0,0,0,31.47,0,0,0,15.73,0,0,0,0,3.15,0,0,0,0,0,0,0
 14-21,0,0,2,2,4,0,1,0,0,0,2,1,0,0,0,0,39,0,2,0,0,1,21,2,0,1,0,0,3,0,0,0,0,12,16,0,0,0,0
 24-34,0,0.82,0.82,0.82,0,0,2.46,0,0,0,0.82,1.64,0,0,1.64,0,52.53,0,16.42,0,0,4.93,92.76,1.64,0,4.1,0,0,0,0,0,0,0,4.93,34.48,0,2.46,0,1.64
 36-46,0,0,0,0,0,0,4.03,0,0,0,2.42,1.61,0,0.81,0,0,28.2,5.64,13.7,0,0,6.45,60.43,1.61,0.81,4.03,0,0,0.81,0,0,0,0,0,24.98,0,2.42,0,0
 48-58,0,0,0,0.57,0.57,0,13.2,0,0,1.15,2.3,4.02,0.57,0,0,0,30.99,2.87,26.97,0,0,14.35,49.35,2.87,0,1.15,0.57,0,0,0,0.57,0,0,0,7.46,0,2.3,0,0.57
 60-70,0,0,0,1.96,0,0,18.65,0,0,1.96,6.87,14.72,0.98,0,0,0.98,65.76,1.96,40.24,0,0.98,12.76,55.95,0,0.98,3.93,0,0,0,0,0,0.98,0,0,4.91,0,0.98,0,2.94
 72-82,0,2.94,0,1.96,0,12.76,15.71,0,0,0,7.85,43.19,0.98,0,0,0.98,125.65,0,68.72,0,0,13.74,74.61,0,0,10.8,0,0,0.98,0,0,2.94,0,0,2.94,0,0.98,0.98,0
 84-94,0,1.06,0,4.25,1.06,19.12,35.05,2.12,0,0,4.25,108.33,0,2.12,0,1.06,453.49,1.06,43.54,0,0,23.36,48.85,1.06,0,3.19,0,0,1.06,0,0,6.37,0,0,1.06,0,1.06,0,0
 96-106,0,1.09,0,6.56,4.37,16.39,21.86,3.28,0,0,13.11,199.99,0,5.46,0,1.09,654.62,1.09,45.9,1.09,0,18.58,91.8,0,2.19,12.02,0,1.09,4.37,1.09,0,5.46,1.09,0,2.19,0,3.28,0,2.19
108-118,0,1.53,0,3.06,1.53,23.74,44.43,0.77,2.3,1.53,9.19,323.24,0,0,2.3,5.36,1314.39,3.06,27.57,0.77,0,27.57,85.02,0,0.77,4.6,0,0,6.89,0,0,14.55,0,0,2.3,0.77,3.83,0,2.3
120,0,0,0,3.92,3.92,7.84,25.48,1.96,1.96,1.96,5.88,221.46,0,1.96,0,1.96,680.05,0,23.52,1.96,1.96,25.48,78.39,1.96,0,3.92,0,0,0,0,0,11.76,0,0,0,0,5.88,0,0
