stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_mesenchyme,glial,gut,heart,iridophores,lateral_line,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.29,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.59,0,0,0,88.12,0,0,0,0,25.18,0,0,0,0,0,0
 14-21,0,0,0,1,0,0,2,0,0,1,1,8,0,0,9,0,10,1,1,0,0,2,0,1,18,76,444,2,0,0,0,0,0
 24-34,0,0,0.82,4.93,0,0,1.64,9.03,0,0.82,0.82,1.64,0,0,2.46,0,19.7,18.06,0,0.82,0,0,0,1.64,0,34.48,162.53,6.57,0,0,4.1,0,0
 36-46,0,0,0,0,0,0,1.61,24.17,0,0,0,2.42,0,0,4.83,0,16.92,21.75,0,0,0,0,0,0,0.81,12.89,6.45,3.22,0,0,0,0,0.81
 48-58,0,0,0.57,0.57,0,0,7.46,12.05,0,1.72,0,0,0,0,5.74,0.57,16.07,8.03,0,0,0,0,0,0,0,5.74,0,2.87,0,1.15,0.57,0,0
 60-70,0,0,0,0,0,0,3.93,14.72,0,2.94,0,0,0.98,0,1.96,0,7.85,13.74,0,0,0.98,0,0,0,0,7.85,0,2.94,0,0,0,0.98,0
 72-82,0,0,0,0.98,0,0,4.91,5.89,0,0,0,0,0,0,5.89,0.98,4.91,7.85,0,0,0,0,0,0,0,2.94,0,1.96,0,1.96,0,0,0
 84-94,0,0,0,1.06,1.06,0,1.06,5.31,0,0,0,0,0,0,2.12,0,16.99,5.31,0,0,0,0,0,0,0,2.12,0,0,0,0,0,0,0
 96-106,0,0,0,0,0,0,2.19,17.49,0,3.28,0,0,0,1.09,3.28,0,14.21,5.46,0,0,0,0,0,0,0,1.09,0,1.09,0,0,0,1.09,0
108-118,0,0,0,0,0,0.77,2.3,7.66,0,2.3,0,0,0,0,3.06,0,16.09,3.83,0,0,0,0,0.77,0,0,3.06,0,0,1.53,0,0.77,0,0
120,0,0,0,0,0,0,1.96,13.72,1.96,0,0,0,0,0,1.96,0,11.76,7.84,0,0,0,0,0,0,0,0,0,0,1.96,0,0,1.96,0
