stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_mesenchyme,glial,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,melanocytes,mesenchyme,mural_cell,muscle,neural,olfactory,paraxial_mesoderm,periderm,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,0,13.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.13,36.78,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,2.63,0,2.63,0,0,0,0,0,0,0
 10-12,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.88,0,6.29,3.15,0,0,0,0,0,0
 14-21,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,2,0,0,0,1,1,0,0,0,0
 24-34,0,0,0,0,0.82,0,0,0,0,0,0,0,0,0,0,0,0,1.64,0,0.82,6.57,0,0,0.82,0,2.46,0,0,0,0
 36-46,0,0,0,0,0,0,0,0.81,0,0,0,0,0,0,0,1.61,0,1.61,0,0,20.14,0,0,2.42,0,1.61,0,0,0,0
 48-58,0,0,0,0,0,0,0,8.03,0,1.15,0,0.57,0.57,0,0,2.3,0,2.87,0.57,0,65.41,1.15,0,2.87,0,6.31,0,0,0,0
 60-70,0,0,0,0,0,0.98,0,6.87,0,0.98,0,0,0,0,0,0,0.98,7.85,0,0.98,190.42,2.94,0,2.94,0,10.8,0,0,1.96,0
 72-82,0,0,0,0,1.96,0.98,0,11.78,0,0,0,0,0.98,0,0,1.96,0,10.8,0.98,0,153.14,1.96,0,1.96,0,2.94,0,0,0.98,1.96
 84-94,0,0,1.06,0,0,0,0,8.5,0,1.06,0,0,0,0,0,1.06,3.19,5.31,2.12,0,76.47,5.31,0,5.31,0,0,0,0,1.06,0
 96-106,0,0,0,0,2.19,0,0,5.46,0,0,0,0,0,1.09,1.09,1.09,0,12.02,0,0,42.62,1.09,0,0,0,1.09,1.09,1.09,1.09,0
108-118,0,0,0,0,1.53,0,0.77,3.83,0,0,0,0,0,0,0.77,2.3,0,6.89,0.77,0,43.66,0,0,0.77,0,1.53,0.77,0,0.77,0
120,0,0,0,0,1.96,0,0,3.92,1.96,0,0,0,0,0,0,0,0,7.84,0,0,25.48,0,0,1.96,0,0,0,0,1.96,0
