stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,52.71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,24.52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,2.63,0,0,0,0,0,0,0,0,0,0,0,2.63,0,0,0,0,0,0,0,0,0,0,15.77,2.63,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0
 10-12,6.29,0,0,0,0,0,3.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25.18,0,0,0,12.59,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,88,0,0,0,0,0,0,0,0,0,77,0,0,3,0,1
 24-34,0,0.82,0,5.75,0,0,2.46,0,0.82,0,3.28,0,0,0,0,0,0,0,0.82,0.82,0,0,3.28,297.97,0,0.82,0,0,0,0,0,0,0.82,212.6,0,0,13.13,0,0
 36-46,0,0,0,1.61,0,0,20.95,0,0,0,11.28,0,0,0,0,0,0,0,1.61,3.22,0,0,0.81,560.75,0,1.61,0,0,0,0,0.81,0,0,315.02,0,0,4.03,0,0
 48-58,0,0,0,3.44,0,0,76.89,0,0,0,26.4,0,0,0,0,0.57,0,0,0,8.03,0,0,1.15,716.11,0.57,2.3,2.3,0,0,1.15,0,0,0,269.11,0,0,4.59,0,0.57
 60-70,0,0,0,2.94,0,0,151.15,0,0,0.98,26.5,0.98,0,0,0,0.98,0.98,0,0.98,19.63,0,0,1.96,1041.39,0,1.96,1.96,0,0,1.96,0.98,0,0,292.49,0,0.98,2.94,0,0
 72-82,0,2.94,0,6.87,2.94,0,208.11,0,0.98,0,32.39,2.94,0,0,0,0,0,0,0.98,23.56,0,0.98,1.96,1006.2,0,1.96,0,0,0,0.98,0,0.98,0,168.85,1.96,0,1.96,1.96,0.98
 84-94,0,1.06,1.06,8.5,0,0,165.68,0,1.06,1.06,36.11,2.12,0,4.25,0,1.06,1.06,0,1.06,16.99,1.06,1.06,1.06,533.14,0,6.37,6.37,0,0,4.25,0,0,0,84.96,0,0,2.12,1.06,1.06
 96-106,0,1.09,0,13.11,1.09,0,144.26,1.09,0,0,37.16,10.93,0,3.28,2.19,1.09,3.28,0,1.09,22.95,0,2.19,1.09,492.87,0,4.37,3.28,0,0,4.37,0,0,0,48.09,0,1.09,2.19,0,0
108-118,0,0.77,0,7.66,0,0.77,121.02,1.53,0,0.77,42.89,41.36,0,0,0,0.77,0.77,0.77,0.77,13.79,0,0,3.06,482.56,0,2.3,5.36,0,0,1.53,0,0,0,40.6,1.53,0,3.83,0,0
120,0,1.96,0,7.84,7.84,0,137.18,1.96,1.96,0,66.63,58.79,0,0,0,0,1.96,0,0,9.8,1.96,1.96,1.96,721.2,0,3.92,0,0,1.96,5.88,0,0,0,66.63,0,0,3.92,0,0
